n_estimators,max_depth,min_samples_split,max_iter,n_splits,mse_score_1,mse_score_2,mse_score_3,mse_score_4,mse_score_5,mse_score_6,mse_score_7,mse_score_8,mse_score_9,mse_score_10,mean_mse_score,prev_1,prev_2,prev_3,prev_4,prev_5,prev_6,prev_7,prev_8,prev_9,prev_10,mean_prev,ptev_1,ptev_2,ptev_3,ptev_4,ptev_5,ptev_6,ptev_7,ptev_8,ptev_9,ptev_10,mean_ptev,oob_1,oob_2,oob_3,oob_4,oob_5,oob_6,oob_7,oob_8,oob_9,oob_10,oob_score
100,,0.05,2,3,14.122230238964589,7.84846204148744,11.410817255777516,,,,,,,,11.127169845409847,0.5128652498254634,0.3269067127856145,0.4740887342770186,,,,,,,,0.43795356562936555,0.48713475017453656,0.6730932872143855,0.5259112657229814,,,,,,,,0.5620464343706345,16.4,3.3,14.4,,,,,,,,11.366666666666667
100,,0.05,2,5,13.923869709031704,12.25233097351038,7.336913476033943,14.718233389204707,9.717829310733046,,,,,,11.589835371702756,0.5399768747693097,0.4986626348155104,0.3193163075935838,0.588102965561808,0.3880073329881732,,,,,,0.466813223145677,0.4600231252306903,0.5013373651844896,0.6806836924064161,0.41189703443819203,0.6119926670118268,,,,,,0.533186776854323,18.3,9.7,3.7,14.0,15.2,,,,,,12.180000000000001
100,,0.05,2,10,14.834554212379459,10.943329332741987,15.144814020968461,7.0644707341204,5.783768382443368,7.49633601114025,12.699378431129986,9.523942445342682,9.974556828381546,8.957327881418955,10.242247828006708,0.6714713353915537,0.39936446315207236,0.35350602606816156,0.4888692241232613,0.3341490716634761,0.2642746172857904,0.46708789097562325,0.39097170852289237,0.45066464609555135,0.33659128235183394,0.41569502656302165,0.32852866460844626,0.6006355368479277,0.6464939739318384,0.5111307758767387,0.6658509283365239,0.7357253827142095,0.5329121090243768,0.6090282914771076,0.5493353539044487,0.663408717648166,0.5843049734369784,16.6,11.9,13.4,13.0,10.9,11.0,14.1,12.6,13.9,14.1,13.15
100,,0.05,10,3,11.091306555534938,3.952354396715347,6.256182153980868,,,,,,,,7.09994770207705,0.302660142323857,0.15139387990845038,0.23369872469496272,,,,,,,,0.2292509156424234,0.697339857676143,0.8486061200915496,0.7663012753050372,,,,,,,,0.7707490843575767,29.3,24.6,24.6,,,,,,,,26.166666666666668
100,,0.05,10,5,12.148847669340372,10.613955271254452,3.0573959936692883,9.019230082579845,5.153050610632279,,,,,,7.998495925495247,0.35127996851999543,0.36908243438809113,0.08725625929891993,0.3210125252250174,0.1877843699628282,,,,,,0.26328311147897043,0.6487200314800046,0.6309175656119088,0.91274374070108,0.6789874747749827,0.8122156300371717,,,,,,0.7367168885210296,25.2,27.8,21.6,20.4,27.8,,,,,,24.56
100,,0.05,10,10,12.68339724289156,9.606427402724261,14.042128579999412,5.584749432357432,2.763971072152297,4.87382493200663,4.460400484174342,5.5707569171973494,7.1928343888150374,3.9116711501546884,7.069016160247301,0.3879602984035739,0.29490896778925696,0.26751484354674265,0.38854126952452683,0.10719055223198709,0.09020836847871178,0.12697556688854894,0.2085938257833062,0.31746859900695706,0.1273719090612111,0.23167342007148228,0.6120397015964261,0.705091032210743,0.7324851564532574,0.6114587304754732,0.892809447768013,0.9097916315212882,0.8730244331114512,0.7914061742166938,0.682531400993043,0.8726280909387889,0.7683265799285177,29.4,6.5,24.7,21.5,19.0,31.7,23.6,22.8,34.3,22.4,23.59
100,,0.1,2,3,12.962279446559094,6.653669729330487,9.957227310847967,,,,,,,,9.857725495579183,0.44202553950985607,0.26609458336822595,0.40137435882016276,,,,,,,,0.36983149389941494,0.557974460490144,0.733905416631774,0.5986256411798372,,,,,,,,0.6301685061005851,17.0,8.8,17.1,,,,,,,,14.300000000000002
100,,0.1,2,5,13.566941359969407,10.018043406738583,5.695799661773777,12.101061124155475,8.495062986002344,,,,,,9.975381707727918,0.4740504832293755,0.39451004884022983,0.22565431004303257,0.4754076912154922,0.3303224517861698,,,,,,0.37998899702285993,0.5259495167706245,0.6054899511597702,0.7743456899569674,0.5245923087845078,0.6696775482138302,,,,,,0.62001100297714,19.4,14.1,8.8,12.1,16.6,,,,,,14.2
100,,0.1,2,10,13.952723283952814,10.629707374533325,13.679966672371041,5.944380291742803,4.830371665811899,6.0399092859104835,9.047381794808038,8.493614574061265,8.981845145438772,7.39486917954158,8.8994769268172,0.5771666296275326,0.36460025449059447,0.30524466879507617,0.41378468660800216,0.2548083495359686,0.18353470862343704,0.31903506609058274,0.3423755955421091,0.40564410554927577,0.2615815312710319,0.34277755961336104,0.42283337037246743,0.6353997455094056,0.6947553312049238,0.5862153133919978,0.7451916504640315,0.8164652913765629,0.6809649339094171,0.6576244044578908,0.5943558944507242,0.738418468728968,0.6572224403866389,21.3,12.2,16.2,13.9,13.8,10.6,19.1,11.6,15.7,15.3,14.970000000000002
100,,0.1,10,3,11.33861355163262,3.8237598981397265,6.097946305881407,,,,,,,,7.086773251884584,0.3123377445395011,0.14755751730587863,0.23082789629630673,,,,,,,,0.23024105271389547,0.6876622554604989,0.8524424826941215,0.7691721037036933,,,,,,,,0.7697589472861046,16.9,28.0,24.1,,,,,,,,23.0
