"Variable","Lasso_Beta","Ridge_Beta","Enet_Beta"
"(Intercept)",0.0433994153702018,0.354885297596583,0.0433994153702018
"cohort_number",0,-0.0167231733307632,0
"age",0,-0.0122935744734585,0
"sex",0,-0.00689045692489412,0
"race",0,0.0191753841928252,0
"ethnicity",0,-0.00357090357228606,0
"education",0,0.000440192370487347,0
"rmr_kcald_BL",0.198956184715419,0.0370563539256762,0.198956184715419
"spk_EE_int_kcal_day_BL",0,0.0290670137962004,0
"avg_systolic_BL",0,0.0148764365964566,0
"avg_diastolic_BL",0,0.00734092689277822,0
"C_Reactive_Protein_BL",0,0.0116786609837004,0
"Cholesterol_lipid_BL",0,-0.00453454950340755,0
"Ghrelin_BL",0,-0.00581415298829504,0
"Glucose_BL",0,-0.0083170858513557,0
"HDL_Total_Direct_lipid_BL",0,0.00271958406137979,0
"Hemoglobin_A1C_BL",0,0.00209780057076251,0
"Insulin_endo_BL",0,0.0264712136683348,0
"LDL_Calculated_BL",0,-0.00668752190938378,0
"Leptin_BL",0.248490185179432,0.0505227784633052,0.248490185179432
"Peptide_YY_BL",0,-0.0026263843823985,0
"Triglyceride_lipid_BL",0,-0.000790761134755703,0
"HOMA_IR_BL",0,0.0222656773663794,0
"g__Methanobrevibacter_A",0,2.803584217637e-06,0
"g__Methanosphaera",0,-0.0118305933131174,0
"g__Methanomassiliicoccus_A_1637",0,0.00796475777444878,0
"g__UBA71",0,-0.00787734241634312,0
"g__Actinomyces",0,-0.00059076578547552,0
"g__Actinotignum",0,0.0079659234522928,0
"g__Gleimia",0,0.00797391788927973,0
"g__Mobiluncus",0,0.00797598207991314,0
"g__Pauljensenia",0,0.0079809690247851,0
"g__Peptidiphaga",0,-0.0211390163689754,0
"g__Varibaculum",0,-0.00898592261773769,0
"g__Winkia",0,0.00797332809988115,0
"g__Alloscardovia",0,-0.00482879227854741,0
"g__Bifidobacterium_388775",0,-0.0010888143144759,0
"g__Scardovia",0,0.0557876706554628,0
"g__Arthrobacter_I_385749",0,0.0109549931637502,0
"g__Kocuria",0,0.00795758859455442,0
"g__Rothia",0,-0.012650675611842,0
"g__Specibacter",0,-0.0479191372336166,0
"g__Corynebacterium",0,0.000676074255262135,0
"g__Lawsonella",0.0814591386414191,0.071610041609207,0.0814591386414191
"g__Atopobium",0,0.00395755260844864,0
"g__Fannyhessea",0,0.0375700265854958,0
"g__Lancefieldella",0,0.0254638352892999,0
"g__NM07-P-09",0,0.00921628173551374,0
"g__Olegusella",0,0.00789137397324805,0
"g__Parolsenella",0,0.0229208143082459,0
"g__Thermophilibacter",0,-0.0570325618073116,0
"g__UBA1367",0,-0.0240179002337416,0
"g__Collinsella",0,0.00525662662710768,0
"g__Adlercreutzia_404199",0,-0.0145529432012082,0
"g__Adlercreutzia_404218",0,0.00786470089610332,0
"g__Adlercreutzia_404257",0,-0.00290750555659919,0
"g__CAG-1427",0,-0.00127478181927153,0
"g__Cryptobacterium",0,0.0078199360761334,0
"g__Eggerthella",0,0.00912033574360623,0
"g__Ellagibacter",0,0.00409095967887501,0
"g__Gordonibacter",0,0.0117299842096366,0
"g__Paraeggerthella",0,-0.00633371178292313,0
"g__Raoultibacter",0,-0.0106831461938365,0
"g__Rubneribacter",0,0.00780332016922837,0
"g__Senegalimassilia",0,0.00415357019752335,0
"g__Slackia_A",0,-0.00422790332384275,0
"g__QAMH01",0,-0.0124584024096536,0
"g__Alloprevotella",0,-0.00125064332528508,0
"g__Bacteroides_H",0,-0.000188972322940234,0
"g__Paraprevotella",0,-0.0117557534079297,0
