"Variable","RF_Importance","Lasso_Importance","Ridge_Importance","Enet_Importance","XGBoost_Importance"
"cohort_number",18.5644533651217,0,13.8141611226988,0,20.926989231946
"age",39.4470919548353,0,10.1544817465072,0,0.159922114034289
"sex",0,0,5.69049335915895,0,0
"race",3.02135637427972,0,15.8401471785607,0,0.00357037417382802
"ethnicity",0.907248909221853,0,2.9479197460487,0,0.139018766382404
"education",7.98150499351732,0,0.361365164669266,0,0
"rmr_kcald_BL",77.1483687588277,80.0660133001854,30.6131815470583,80.0660133001854,12.8212198256802
"spk_EE_int_kcal_day_BL",70.5447695830089,0,24.0124882917298,0,36.4726658846115
"avg_systolic_BL",29.3720527240417,0,12.288410246036,0,0.0150848265803641
"avg_diastolic_BL",35.4804542467652,0,6.06266603306609,0,0
"C_Reactive_Protein_BL",36.2192057920993,0,9.64644788405075,0,2.12961970707566
"Cholesterol_lipid_BL",30.5237176957586,0,3.74407200580932,0,1.38219860057609
"Ghrelin_BL",20.5103725849574,0,4.80126445916728,0,0.419916422516387
"Glucose_BL",26.1464755346566,0,6.869156400179,0,13.4836805431689
"HDL_Total_Direct_lipid_BL",21.1150583281142,0,2.24457017490742,0,0.124164971578901
"Hemoglobin_A1C_BL",19.1954994879342,0,1.73086040335194,0,0
"Insulin_endo_BL",59.6382407056894,0,21.8678705738073,0,0
"LDL_Calculated_BL",23.832834399608,0,5.52283097823126,0,6.96074979197276
"Leptin_BL",100,100,41.7389736873849,100,59.0831992805535
"Peptide_YY_BL",22.0957668929694,0,2.16756976154651,0,0
"Triglyceride_lipid_BL",29.3381920534486,0,0.65100070907396,0,0.166587390417556
"HOMA_IR_BL",80.1436730913056,0,18.3933088886763,0,100
"g__Methanobrevibacter_A",19.0245045049859,0,0,0,0
"g__Methanosphaera",5.1625257622071,0,9.77197248130117,0,1.70158289180261
"g__Methanomassiliicoccus_A_1637",1.60071061135059,0,6.57806733359611,0,0
"g__UBA71",2.71425346491496,0,6.50584585406098,0,0
"g__Actinomyces",7.83507583386045,0,0.485767043752792,0,1.0565370666998
"g__Actinotignum",1.45869941158569,0,6.57903040210467,0,0
"g__Gleimia",3.51630850937393,0,6.58563530632011,0,0
"g__Mobiluncus",2.22208342280329,0,6.5873407148984,0,0
"g__Pauljensenia",38.3313354124021,0,6.59146086660651,0,0.96205970376548
"g__Peptidiphaga",19.7399421045621,0,17.4624756125751,0,0
"g__Varibaculum",8.24220929321944,0,7.42174100181406,0,0
"g__Winkia",2.43441862059572,0,6.5851480296687,0,0
"g__Alloscardovia",5.58642259825619,0,3.98717171990577,0,0
"g__Bifidobacterium_388775",24.6171924111594,0,0.897248531951093,0,0.0453682790693954
"g__Scardovia",2.3592599189797,0,46.0887620077736,0,0
"g__Arthrobacter_I_385749",2.61345271395949,0,9.04856254923812,0,0
"g__Kocuria",1.40136630446465,0,6.57214424650656,0,0
"g__Rothia",37.6112682696774,0,10.4495142570023,0,0.0936222020479068
"g__Specibacter",6.17040961428078,0,39.5878777488486,0,0
"g__Corynebacterium",8.47769029858718,0,0.556247838413847,0,0
"g__Lawsonella",27.1001041377976,32.7816322333207,59.1610077183261,32.7816322333207,23.6618953832471
"g__Atopobium",2.99985377891906,0,3.26736436147591,0,0
"g__Fannyhessea",3.99345753599197,0,31.0375714974384,0,0
"g__Lancefieldella",24.4655616840401,0,21.0355871105551,0,0
"g__NM07-P-09",4.9827378163638,0,7.61206083428658,0,0
"g__Olegusella",1.60478541980897,0,6.51743855152073,0,0
"g__Parolsenella",9.39694615436105,0,18.9345748660178,0,0
"g__Thermophilibacter",2.58716145980404,0,47.1172755641448,0,0
"g__UBA1367",3.57591149465399,0,19.8409735862598,0,0
"g__Collinsella",53.9074037419268,0,4.3406431272027,0,52.2945165845205
"g__Adlercreutzia_404199",5.54566854514592,0,12.0211440341143,0,0
"g__Adlercreutzia_404218",1.78058405635303,0,6.49540158757192,0,0
"g__Adlercreutzia_404257",39.9290514424316,0,2.39982857246263,0,0
"g__CAG-1427",22.9103021066629,0,1.05089256696795,0,0
"g__Cryptobacterium",1.93986788016892,0,6.45841745115228,0,0
"g__Eggerthella",18.733400039946,0,7.53279145140936,0,8.68350841255514
"g__Ellagibacter",7.38598286644469,0,3.37758362060192,0,0
"g__Gordonibacter",29.5127487142844,0,9.68885049375176,0,0.0322969597954372
"g__Paraeggerthella",3.17092432381761,0,5.23051746077572,0,0
"g__Raoultibacter",3.4529964274434,0,8.82396597033281,0,0
"g__Rubneribacter",3.15014089481191,0,6.44468959592747,0,0
"g__Senegalimassilia",13.3222254017788,0,3.42931165088442,0,0
"g__Slackia_A",16.3821769765317,0,3.49072475354277,0,0.669968171689982
"g__QAMH01",27.5095628796023,0,10.2906605333784,0,2.87697016623927
