"Model","DataType","R2","MAE","RMSE"
"lasso_model","Train",0.418795435057224,0.667552093983319,0.838714772315834
"lasso_model","Test",0.274629998645058,0.684556401258653,0.868564971353701
"ridge_model","Train",0.835878775607096,0.455262375859584,0.573957168934065
"ridge_model","Test",0.185466532901847,0.720174772465254,0.902207527187912
"elastic_net_model","Train",0.418795435057224,0.667552093983319,0.838714772315834
"elastic_net_model","Test",0.274629998645058,0.684556401258653,0.868564971353701
"rf_model","Train",0.960588632835796,0.319034096959048,0.401760938390341
"rf_model","Test",0.0892127174918734,0.72427353193522,0.949347625899651
"xgb_model","Train",0.998877209415544,0.0240586520662544,0.0355011129684578
"xgb_model","Test",0.156560822041081,0.709812595006365,0.914813797213134
