"Variable","Lasso_Beta","Ridge_Beta","Enet_Beta"
"(Intercept)",-0.0138984936542087,0.369833562783343,-0.0138984936542087
"g__Methanobrevibacter_A",0,1.71086229197512e-05,0
"g__Methanosphaera",0,-0.0153859308159827,0
"g__Methanomassiliicoccus_A_1637",0,0.00906947254725736,0
"g__UBA71",0,-0.00588916451138466,0
"g__Actinomyces",0,0.00261137853826062,0
"g__Actinotignum",0,0.00899630585506436,0
"g__Gleimia",0,0.00899850150473362,0
"g__Mobiluncus",0,0.00900365668779676,0
"g__Pauljensenia",0,0.00974878851913073,0
"g__Peptidiphaga",0,-0.0243553215847612,0
"g__Varibaculum",0,-0.0157740632007622,0
"g__Winkia",0,0.00899705237717851,0
"g__Alloscardovia",0,-0.00639988296156446,0
"g__Bifidobacterium_388775",0,-0.00137373509267078,0
"g__Scardovia",0,0.0873502828292921,0
"g__Arthrobacter_I_385749",0,0.0136333103782759,0
"g__Kocuria",0,0.0089675960253034,0
"g__Rothia",0,-0.0156036041323884,0
"g__Specibacter",0,-0.0658474562472609,0
"g__Corynebacterium",0,7.53320551821235e-05,0
"g__Lawsonella",0,0.0943243671890464,0
"g__Atopobium",0,0.0044422281704189,0
"g__Fannyhessea",0,0.0557196714215954,0
"g__Lancefieldella",0,0.0339887113948793,0
"g__NM07-P-09",0,0.012122299904758,0
"g__Olegusella",0,0.00886385524882631,0
"g__Parolsenella",0,0.0316250897192538,0
"g__Thermophilibacter",0,-0.0754392681494957,0
"g__UBA1367",0,-0.0353316011584115,0
"g__Collinsella",0,0.00605027471542695,0
"g__Adlercreutzia_404199",0,-0.0160146051599024,0
"g__Adlercreutzia_404218",0,0.00880774216091465,0
"g__Adlercreutzia_404257",0,-0.00467462273317453,0
"g__CAG-1427",0,-0.00103609331948923,0
"g__Cryptobacterium",0,0.00871583210527884,0
"g__Eggerthella",0,0.0112160106943223,0
"g__Ellagibacter",0,0.00659763966544072,0
"g__Gordonibacter",0,0.0158106169086407,0
"g__Paraeggerthella",0,-0.0129251415513141,0
"g__Raoultibacter",0,-0.0159389110712568,0
"g__Rubneribacter",0,0.00866500176244975,0
"g__Senegalimassilia",0,0.00562809785541982,0
"g__Slackia_A",0,-0.00428246915577821,0
"g__QAMH01",0,-0.0173858022666998,0
"g__Alloprevotella",0,-0.00136164200074232,0
"g__Bacteroides_H",0,-0.000244004294563518,0
"g__Paraprevotella",0,-0.0156022218622259,0
"g__Phocaeicola_A_858004",0,-0.00560734739541525,0
"g__Prevotella",0,0.000115004352179346,0
"g__Barnesiella",0,-8.27482712341908e-05,0
"g__CABJAA01",0,-0.0166973350377403,0
"g__Coprobacter",0,-0.0111206661440429,0
"g__Dysgonomonas",0,0.00430452505284321,0
"g__Seramator",0,0.140756701366603,0
"g__Butyricimonas",0,-0.0047971957288107,0
"g__Gabonibacter",0,-0.00523937505069608,0
"g__Odoribacter_865974",0,-0.00558064554276901,0
"g__CAG-1031",0,-0.040771601678245,0
"g__CAG-485",0,0.00107586826463067,0
"g__CAG-873",0,0.0449701111279414,0
"g__Duncaniella",0,-0.0214143917226054,0
"g__Limisoma",0,-0.00930153972965019,0
"g__Muribaculum",0,0.00287230821155804,0
"g__Paramuribaculum",0,-0.00166212349515099,0
"g__Sodaliphilus",0,0.00465644176875598,0
"g__UBA3263",0,0.00424534868486064,0
"g__UBA7173",0,0.00877192014347024,0
"g__Porphyromonas_A_859424",0,0.00371026350019347,0
"g__Porphyromonas_A_859426",0,0.0172091836583386,0
"g__Alistipes_A_871400",0,0.000818711258912747,0
"g__Alistipes_A_871404",0,-0.00241422881120632,0
"g__Rikenella",0,0.00833685549574337,0
"g__Tidjanibacter",0,0.0225218272069127,0
"g__Parabacteroides_B_862066",0,-0.00120777445437884,0
"g__UBA11471",0,0.0158693205996228,0
"g__Coprenecus",0,0.00189845479475636,0
"g__Cryptobacteroides",0,-0.0155723299719896,0
"g__Campylobacter_A",0,0.00824189348279686,0
"g__Campylobacter_B",0,0.00272906420679235,0
"g__Helicobacter_C_479931",0,0.00476323772007908,0
"g__Helicobacter_D",0,-0.0443119051328392,0
"g__SIO2C1",0,0.000784873053309299,0
"f__Gastranaerophilaceae",0,0.00408769711407548,0
"g__CAG-196",0,-0.00471896471542126,0
"g__Limenecus",0,0.0083539761258169,0
"g__Stercorousia",0,0.000504349800073099,0
"g__UBA2813",0,-0.0555957813670695,0
"g__UBA6984",0,0.00819682104499095,0
"g__Zag111",0,-0.0056929275137926,0
"g__Mucispirillum",0,0.0117501533227884,0
"g__Desulfovibrio_R_446353",0,-0.0016780229582404,0
"g__Mailhella",0,0.00471183838570228,0
"g__Nitratidesulfovibrio",0,0.00823726810013205,0
"g__UBA1436",0,-0.00472829978049579,0
"c__Clostridia_258483",0,-0.00542602240049845,0
"f__DSM-8532",0,0.0129780744835388,0
"o__Christensenellales",0,0.00148018088064956,0
"f__Borkfalkiaceae",0,0.00832635856721018,0
"g__Borkfalkia",0,-0.00538968501238674,0
"g__UBA1259",0,0.00868831533906116,0
"f__CAG-138",0,-0.00639432241717429,0
"g__Aphodomorpha",0,0.000297910518512942,0
"g__CAG-1024",0,0.0197165275213475,0
"g__PeH17",0,0.00153761913724893,0
"g__SFDB01",0,0.00842100218791147,0
