"Variable","RF_Importance","Lasso_Importance","Ridge_Importance","Enet_Importance","XGBoost_Importance"
"g__Methanobrevibacter_A",28.458116575458,NA,0.000441994785606674,NA,6.45098101308771
"g__Methanosphaera",6.20524571281506,NA,9.54161654036662,NA,0.974778200450583
"g__Methanomassiliicoccus_A_1637",1.14497634899205,NA,5.6202730506235,NA,0.00946561125327702
"g__UBA71",1.89318938369224,NA,3.64589442239838,NA,0.00309577661668814
"g__Actinomyces",10.2634962716657,NA,1.61100016051085,NA,2.04625211210738
"g__Actinotignum",0.899480758951728,NA,5.57485016965274,NA,0
"g__Gleimia",0.675227392588518,NA,5.57621325892999,NA,0
"g__Mobiluncus",2.06786424396991,NA,5.57941366692495,NA,0
"g__Pauljensenia",51.5801892269402,NA,6.04200167613719,NA,14.1708677905604
"g__Peptidiphaga",24.1198960045907,NA,15.1099367289537,NA,1.00769646839812
"g__Varibaculum",13.7519785200416,NA,9.78257442142305,NA,0.000617777768362752
"g__Winkia",1.12065139879221,NA,5.5753136207685,NA,0
"g__Alloscardovia",5.17634508784104,NA,3.96295540570611,NA,0
"g__Bifidobacterium_388775",30.346146025597,NA,0.842654220189088,NA,0.480746264510489
"g__Scardovia",4.02313423101986,NA,54.2180683200314,NA,0
"g__Arthrobacter_I_385749",2.04287382474123,NA,8.453565855789,NA,0
"g__Kocuria",1.18287539377991,NA,5.55702671555312,NA,0
"g__Rothia",54.5127887859352,NA,9.67675110563469,NA,0.862796836617326
"g__Specibacter",8.29785901468043,NA,40.8688201430876,NA,0
"g__Corynebacterium",8.94448299690397,NA,0.0365878960706675,NA,5.27786016661615
"g__Lawsonella",33.045214759624,NA,58.5476750612725,NA,0
"g__Atopobium",3.31144078355285,NA,2.74761659654586,NA,0
"g__Fannyhessea",3.94059253242647,NA,34.5813531161493,NA,0
"g__Lancefieldella",29.3936129934754,NA,21.0904765835593,NA,4.08725399745303
"g__NM07-P-09",6.13108336764212,NA,7.51550993407091,NA,0
"g__Olegusella",1.23782317043451,NA,5.49262302583454,NA,0
"g__Parolsenella",10.3308853828333,NA,19.6231079925529,NA,0
"g__Thermophilibacter",3.20411162471346,NA,46.823547865093,NA,0
"g__UBA1367",3.65289878177012,NA,21.9241608742863,NA,0
"g__Collinsella",66.4282347125525,NA,3.74591383563198,NA,22.183137240044
"g__Adlercreutzia_404199",3.09847138060389,NA,9.93190615217394,NA,0
"g__Adlercreutzia_404218",1.97187889088559,NA,5.45778725512088,NA,0
"g__Adlercreutzia_404257",51.0585124921404,NA,2.89189031243908,NA,100
"g__CAG-1427",31.5387382374265,NA,0.633041599824545,NA,0.0330932939141619
"g__Cryptobacterium",1.16329077291361,NA,5.40072823834657,NA,0
"g__Eggerthella",22.8238539083638,NA,6.95287322470443,NA,1.82764316666817
"g__Ellagibacter",7.04051386411772,NA,4.08572546612712,NA,0.00215930982985943
"g__Gordonibacter",46.5227413920925,NA,9.80526746209827,NA,0.0422377628364952
"g__Paraeggerthella",1.18104983739075,NA,8.01392498410066,NA,0
"g__Raoultibacter",3.09911019539894,NA,9.88491422899569,NA,0.0373917679713619
"g__Rubneribacter",2.93924549039439,NA,5.36917206787028,NA,0
