"Model","DataType","R2","MAE","RMSE"
"lasso_model","Train",NA,0.7944140090113,0.998108950866026
"lasso_model","Test",NA,0.752943599970574,0.993268709873004
"ridge_model","Train",0.860656192030899,0.417886185076425,0.528460657836184
"ridge_model","Test",0.0884729164343619,0.750002195627327,0.94744882689292
"elastic_net_model","Train",NA,0.7944140090113,0.998108950866026
"elastic_net_model","Test",NA,0.752943599970574,0.993268709873004
"rf_model","Train",0.956525740286517,0.327734646597926,0.410791146862333
"rf_model","Test",0.0380038705617207,0.744447249561212,0.974455943629257
"xgb_model","Train",0.999395334838566,0.00494450090438852,0.0245473515364897
"xgb_model","Test",4.10824816407614e-06,0.856672355706088,1.113549046084
