"Variable","Lasso_Beta","Ridge_Beta","Enet_Beta"
"(Intercept)",-0.0184488483663645,-0.0866513242089269,-0.0441645196203753
"cohort_number",0,-0.0202885481596021,0
"age",0,-0.0124732752066005,0
"sex",0,-0.00889616359503627,0
"race",0,0.0215866050192802,0
"ethnicity",0,-0.00707524995107356,0
"education",0,0.00134860331464568,0
"rmr_kcald_BL",0.20664954926548,0.049497020782035,0.212246252131553
"spk_EE_int_kcal_day_BL",0,0.0434449083207578,0.039394129287641
"avg_systolic_BL",0,0.0180484372093789,0
"avg_diastolic_BL",0,0.00757615715887331,0
"C_Reactive_Protein_BL",0,0.0105523916622492,0
"Cholesterol_lipid_BL",0,-0.00787851344556455,0
"Ghrelin_BL",0,-0.0106803911622081,0
"Glucose_BL",0,-0.00796037931391902,0
"HDL_Total_Direct_lipid_BL",0,0.00265029906440462,0
"Hemoglobin_A1C_BL",0,-0.00168917300045312,0
"Insulin_endo_BL",0,0.0366436183880112,0
"LDL_Calculated_BL",0,-0.0131952560961888,0
"Leptin_BL",0.252117013174777,0.0663448178011664,0.280047491502288
"Peptide_YY_BL",0,0.00597050318649949,0
"Triglyceride_lipid_BL",0,0.00249798788050954,0
"HOMA_IR_BL",0,0.0313377415818746,0
"g__Methanobrevibacter_A",0,5.37308547805706e-05,0
"g__Pauljensenia",0,0.00911936697755414,0
"g__Bifidobacterium_388775",0,-0.00173616708170929,0
"g__Collinsella",0,0.00763032896349027,0
"g__Adlercreutzia_404257",0,-0.00073827012001132,0
"g__CAG-1427",0,-0.00407624371314356,0
"g__Eggerthella",0,0.0114336312169368,0
"g__Gordonibacter",0,0.0139756236656837,0
"g__Bacteroides_H",0,-0.000208640314997438,0
"g__Phocaeicola_A_858004",-0.0007328086980889,-0.00528185419242832,-0.00626855940073832
"g__Prevotella",0,0.000730836994085987,0
"g__Barnesiella",0,-0.00126703829765425,0
"g__Butyricimonas",0,-0.00781998687559668,0
"g__Odoribacter_865974",0,-0.00557964295785351,0
"g__Paramuribaculum",0,-0.0019990218800403,0
"g__Alistipes_A_871400",0,-0.000644830424269164,0
"g__Alistipes_A_871404",0,-0.00303484840182716,0
"g__Parabacteroides_B_862066",0,-0.000541400472998893,0
"g__Coprenecus",0,0.0010038548467371,0
"g__Desulfovibrio_R_446353",0,-0.00524440684942379,0
"o__Christensenellales",0,0.000346740210221296,0
"f__CAG-138",0,-0.00648585767985143,0
"f__CAG-74",0,-0.00139589598625638,0
"g__Limiplasma",0,-0.00427328989499918,0
"g__Onthenecus",0,-0.00343678414994898,0
"g__SFMI01",0,0.00239338552678999,0
"g__Christensenella",0,0.00304585283633283,0
"g__Clostridium_T",0,0.00558360764944768,0
"g__Anaerofustis",0,-0.00487585711601619,0
"o__Lachnospirales",0,0.00864291888229623,0
"f__Anaerotignaceae",0,0.00702071684435433,0
"g__Anaerotignum_189125",0,0.00343090680438706,0
"g__CAG-274",0,0.0100134021089181,0
"f__Lachnospiraceae",0,0.000307940344407803,0
"g__Acetatifactor",0,0.00187663314273435,0
"g__Agathobacter_164117",0,-0.000218847573614168,0
"g__Anaerobutyricum",0,-0.00110104911898442,0
"g__Anaerostipes",0,0.00247708991973279,0
"g__Bariatricus",0,0.000655534089131042,0
"g__Blautia_A_141780",0,0.0004168715486968,0
"g__Blautia_A_141781",0,0.000305378034380938,0
"g__Butyribacter",0,0.00080985837583957,0
"g__CAG-127",0,0.00870472668668632,0
"g__CAG-317_146760",0,-0.00536921675665601,0
"g__Catenibacillus",0,-0.00120992599028564,0
"g__Clostridium_AP",0,-0.00604984742293746,0
"g__Clostridium_Q_134516",0,-0.00379371893056563,0
"g__Clostridium_Q_135822",0,0.00350140890820647,0
"g__Clostridium_Q_135853",0,0.00299846893700523,0
"g__Coprococcus_A_121497",0,-0.00235887155741357,0
"g__Coprococcus_A_187866",0,-0.00212531676209143,0
"g__Copromonas",0,0.00093526146027521,0
"g__Dorea_A",0.00134781964815757,0.00458545867224584,0.00649487969586378
"g__Eisenbergiella",0,0.00220967457308779,0
"g__Enterocloster",0,-0.00189682583385655,0
"g__Eubacterium_F",0,0.000663946479921521,0
"g__Eubacterium_G",0,-0.000827999031365432,0
"g__Eubacterium_I",0,0.00420362181733584,0
"g__Eubacterium_J",0,-0.00337571617357044,0
"g__Faecalimonas",0,-0.00354213232684109,0
"g__Frisingicoccus",0,-0.00341055641033061,0
"g__Lachnoclostridium_B",0,0.0050755856208038,0
"g__Lachnospira",0,-0.00284065007876668,0
"g__Limivivens",0,-0.00378711956810225,0
"g__Marvinbryantia",0,-0.00846018487758696,0
"g__Mediterraneibacter_A_155507",0,0.00205515323498586,0
"g__Mediterraneibacter_A_155590",0,-0.00289897035921476,0
"g__Merdisoma",0,-0.00662774514853152,0
"g__Muricomes_149725",0,-0.00168723093623573,0
"g__Oliverpabstia",0,-0.00588149418744935,0
"g__Porcincola",0,0.00131002410025181,0
"g__Roseburia",0,0.00467263721636878,0
"g__RUG115",0,0.00326334971074928,0
"g__Ruminococcus_B",0,-0.00337432490048899,0
"g__Scatomonas",0,-0.0142692533270932,0
"g__Schaedlerella",0,0.00683515503522142,0
"g__Sellimonas",0,0.000796471675677696,0
"g__UMGS1375",0,0.00574135595275787,0
"g__Ventrimonas",0,-0.00260628990641234,0
"g__Monoglobus",0,0.000380344771478593,0
"f__Acutalibacteraceae",0,0.00188035206952454,0
"g__Acutalibacter",0,-8.65363129245582e-05,0
"g__Anaeromassilibacillus",0,0.00604331835914695,0
"g__Clostridium_A",0,-0.000316320135421961,0
"g__Eubacterium_R",0,-0.00227173791455695,0
"g__Hydrogeniiclostridium",0,-0.0106251134277792,0
"g__Ruminococcus_E",0,0.000147881279023093,0
"g__UBA1417",0,-0.0092476455508292,0
"g__UMGS1071",0,0.0182127637082702,0.0160507250176286
"g__Agathobaculum",0,-0.00150967879972541,0
"g__Avispirillum",0,-0.00818392018780252,0
"g__RUG13077",0,-0.00539372866619614,0
"f__Oscillospiraceae_88309",0,0.00161418322915966,0
"g__CAG-83",0,0.00371640390736881,0
"g__Dysosmobacter",0,0.00258052989557726,0
"g__ER4",0,0.00398845101879071,0
"g__Evtepia",0,-0.000721840447172384,0
"g__Faecousia",0,7.15197473764588e-05,0
"g__Lawsonibacter",0,0.000339345515642198,0
"g__Limivicinus",0,-0.000285662143247924,0
"g__Onthomonas",0,-0.0119121032179495,-0.00350366930208208
"g__Vescimonas",0,-0.00327993258264724,0
"g__Anaerotruncus",0,0.0013100475613378,0
"g__Faecalibacterium",0,-0.000481700358754539,0
"g__Gemmiger_A_73129",0,-0.000560235649696563,0
"g__Massilioclostridium",0,0.0114962572008371,0
"g__Negativibacillus",0,0.000527376360491485,0
"g__Paludicola",0,-0.00297163860407314,0
"g__Phocea",0,-0.00946923224350938,0
"g__Ruminiclostridium_E",0,-0.00344810686722207,0
"g__Ruminococcus_C_58660",0,-0.00251381045048913,0
"g__Ruminococcus_D",0,0.00337710453532239,0
"g__Ruthenibacterium",0,-0.00596361249732151,0
"f__Anaerovoracaceae",0,0.00501084610204112,0
"g__BX12",0,-0.00609308830808492,0
"g__Copromorpha",0,0.00285476594361158,0
"g__Intestinibacter",0,0.00478461456644647,0
"g__Romboutsia_B",0,-0.00477173722323498,0
"g__Terrisporobacter",0,0.00551191224800318,0
"g__CAG-269",0,-0.00106191080183947,0
"g__CAG-41",0,0.00442414368623152,0
"g__Peptococcus",0,-0.00449451413699811,0
"g__Acidaminococcus",0,0.00459046182063679,0
"g__Phascolarctobacterium_A",0,-0.00146181001197924,0
"g__Dialister",0,0.00104440164079963,0
"g__Veillonella_A",0,0.00683418283563569,0
"f__Coprobacillaceae",0,-0.00626008676402737,0
"g__Erysipelatoclostridium",0,0.00417176833375257,0
"g__Faecalibacillus",0,0.00130293625870183,0
"g__Clostridium_AQ",0,-0.00931949193917913,0
"g__Dielma",0,0.000670232661814788,0
"g__Holdemanella",0,-0.000679447063949648,0
"g__Holdemania",0,0.0130355291140137,0
"g__Longicatena",0,-0.00740121230028349,0
"g__Merdibacter",0,-0.000822318903806209,0
"g__Turicibacter",0,-0.000906389488088001,0
"g__Lactococcus_A_346120",0,-0.010714146374128,0
"g__Streptococcus",0,0.00135530511007307,0
"g__Gemella",0,0.00453402760178485,0
"g__DTU012",0,0.00699450178723849,0
"g__Parasutterella",0,-0.00171597547151064,0
"g__Sutterella",0,-0.00134447359292781,0
"g__Escherichia_710834",0,0.000347745057899145,0
"g__Haemophilus_D_735815",0,-0.00166743799137321,0
"g__Akkermansia",0,0.00182831298416752,0
