"Variable","RF_Importance","Lasso_Importance","Ridge_Importance","Enet_Importance","XGBoost_Importance"
"cohort_number",17.3742527845128,0,30.5241899581264,0,0
"age",27.8687132486508,0,18.7348630470706,0,29.2906514855966
"sex",0,0,13.3387958284757,0,0
"race",1.28071119708678,0,32.4823066816127,0,0
"ethnicity",0.447937310088845,0,10.5919504713685,0,0
"education",4.98115744309536,0,1.95331306139596,0,0
"rmr_kcald_BL",66.4146902609073,81.9657295885157,74.5851247954987,75.7893780776177,58.1941212261073
"spk_EE_int_kcal_day_BL",57.2773508943644,0,65.455522702578,14.0669459584569,0
"avg_systolic_BL",22.627327974932,0,27.1449861263429,0,0
"avg_diastolic_BL",31.305346940248,0,11.3475682035153,0,26.5659071631143
"C_Reactive_Protein_BL",25.2114739064664,0,15.8372132530571,0,0
"Cholesterol_lipid_BL",25.2187154742356,0,11.8036721846369,0,0
"Ghrelin_BL",17.8345563789302,0,16.0303002966629,0,0
"Glucose_BL",17.8997876121668,0,11.9271667178019,0,9.58995002394493
"HDL_Total_Direct_lipid_BL",17.675033006627,0,3.91691904482435,0,0
"Hemoglobin_A1C_BL",15.7508007973159,0,2.46706189475403,0,0
"Insulin_endo_BL",51.6248277603465,0,55.1957875767272,0,65.5551910221669
"LDL_Calculated_BL",18.3083645131261,0,19.8239700791702,0,0
"Leptin_BL",100,100,100,100,100
"Peptide_YY_BL",17.0094743906375,0,8.92544172115358,0,0
"Triglyceride_lipid_BL",20.1032188743347,0,3.68715786438351,0,0
"HOMA_IR_BL",74.5751983648345,0,47.1918807914487,0,50.0560405273745
"g__Methanobrevibacter_A",19.2925121219652,0,0,0,0
"g__Pauljensenia",40.8172696051754,0,13.6754977786163,0,0
"g__Bifidobacterium_388775",18.5886655099492,0,2.53795239213594,0,7.90225799709898
"g__Collinsella",45.8180516437555,0,11.4292862852549,0,9.44648733158677
"g__Adlercreutzia_404257",38.5628729827052,0,1.03262640086801,0,85.7821131603031
"g__CAG-1427",18.3346180903515,0,6.06795429620315,0,0
"g__Eggerthella",22.2777387590095,0,17.1665617300256,0,0
"g__Gordonibacter",26.4863672062092,0,21.0011533257294,0,0
"g__Bacteroides_H",22.9750833232995,0,0.233680676170166,0,0
"g__Phocaeicola_A_858004",44.5641645995002,0.290662136942297,7.88661580081813,2.23839155534343,31.5107915190965
