"Model","DataType","R2","MAE","RMSE"
"lasso_model","Train",0.36761083995048,0.674052017318305,0.85413460662309
"lasso_model","Test",0.265955052712347,0.685552642826351,0.870683232035966
"ridge_model","Train",0.646154481216079,0.61066829095658,0.76352228582872
"ridge_model","Test",0.336491811285764,0.675420311510367,0.868483750248347
"elastic_net_model","Train",0.427807980999619,0.647005411004821,0.815982046395118
"elastic_net_model","Test",0.305856985310964,0.670253496626158,0.842837961893822
"rf_model","Train",0.971698147501173,0.301984716673475,0.384131888112942
"rf_model","Test",0.200876014162688,0.710539492775691,0.925613362464615
"xgb_model","Train",0.928907677531897,0.265714716835835,0.329261033981874
"xgb_model","Test",0.287702292917494,0.667495203443148,0.842199518538061
