"Variable","Lasso_Beta","Ridge_Beta","Enet_Beta"
"(Intercept)",-0.0138984936542087,-0.14117215767894,-0.0138984936542087
"g__Methanobrevibacter_A",0,0.00195395198773551,0
"g__Pauljensenia",0,0.0105885009796367,0
"g__Bifidobacterium_388775",0,-0.00269488301853115,0
"g__Collinsella",0,0.0103446258607083,0
"g__Adlercreutzia_404257",0,-0.0017891798347193,0
"g__CAG-1427",0,-0.00578658248963279,0
"g__Eggerthella",0,0.0154988207634986,0
"g__Gordonibacter",0,0.0224029109483488,0
"g__Bacteroides_H",0,-0.000294181769561463,0
"g__Phocaeicola_A_858004",0,-0.00908642216338743,0
"g__Prevotella",0,0.0013995713856968,0
"g__Barnesiella",0,-0.001810069292366,0
"g__Butyricimonas",0,-0.0120822932463858,0
"g__Odoribacter_865974",0,-0.00783072166637969,0
"g__Paramuribaculum",0,-0.00300693801051054,0
"g__Alistipes_A_871400",0,-0.000659030807431483,0
"g__Alistipes_A_871404",0,-0.00565279968677152,0
"g__Parabacteroides_B_862066",0,-0.00256294845986515,0
"g__Coprenecus",0,0.00213722391544391,0
"g__Desulfovibrio_R_446353",0,-0.00666751234663519,0
"o__Christensenellales",0,0.00360317033322164,0
"f__CAG-138",0,-0.0102594170903824,0
"f__CAG-74",0,-0.0021885010387759,0
"g__Limiplasma",0,-0.00653260765620263,0
"g__Onthenecus",0,-0.00496905769347552,0
"g__SFMI01",0,0.0051689754534352,0
"g__Christensenella",0,0.00611378829631075,0
"g__Clostridium_T",0,0.00875376615125942,0
"g__Anaerofustis",0,-0.0104222814628114,0
"o__Lachnospirales",0,0.0125976904811858,0
"f__Anaerotignaceae",0,0.0108152205763293,0
"g__Anaerotignum_189125",0,0.0037953329220712,0
"g__CAG-274",0,0.0172367036335284,0
"f__Lachnospiraceae",0,-0.000977966099268602,0
"g__Acetatifactor",0,0.00417952015228588,0
"g__Agathobacter_164117",0,0.00129213838732981,0
"g__Anaerobutyricum",0,-0.00223341564729605,0
"g__Anaerostipes",0,0.00474690975737145,0
"g__Bariatricus",0,0.00288232069401679,0
"g__Blautia_A_141780",0,0.00154813180925583,0
"g__Blautia_A_141781",0,0.000445389175290893,0
"g__Butyribacter",0,0.00139578309666171,0
"g__CAG-127",0,0.0144557911623865,0
"g__CAG-317_146760",0,-0.00569317995270595,0
"g__Catenibacillus",0,0.000495813366961205,0
"g__Clostridium_AP",0,-0.00927850309513202,0
"g__Clostridium_Q_134516",0,-0.0022880464062456,0
"g__Clostridium_Q_135822",0,0.00824209468415396,0
"g__Clostridium_Q_135853",0,0.00532615019254634,0
"g__Coprococcus_A_121497",0,-0.00199407733895345,0
"g__Coprococcus_A_187866",0,-0.00343116540266378,0
"g__Copromonas",0,0.00171253627220228,0
"g__Dorea_A",0,0.0070359593052903,0
"g__Eisenbergiella",0,0.00222046127421585,0
"g__Enterocloster",0,-0.00288702884476075,0
"g__Eubacterium_F",0,0.00170952149413778,0
"g__Eubacterium_G",0,-0.000610556257365847,0
"g__Eubacterium_I",0,0.0055320231899281,0
"g__Eubacterium_J",0,-0.00487077731877327,0
"g__Faecalimonas",0,-0.00595529008555012,0
"g__Frisingicoccus",0,-0.00710153484975405,0
"g__Lachnoclostridium_B",0,0.00711464338147399,0
"g__Lachnospira",0,-0.00444877289598189,0
"g__Limivivens",0,-0.00468601921595793,0
"g__Marvinbryantia",0,-0.0124554387397349,0
"g__Mediterraneibacter_A_155507",0,0.00354076212081878,0
"g__Mediterraneibacter_A_155590",0,-0.00773243246282198,0
"g__Merdisoma",0,-0.0083104408550289,0
"g__Muricomes_149725",0,-0.00452141072422191,0
"g__Oliverpabstia",0,-0.0100602841103998,0
"g__Porcincola",0,0.00313772425970092,0
"g__Roseburia",0,0.00815597640930189,0
"g__RUG115",0,0.00466817840095461,0
"g__Ruminococcus_B",0,-0.00693949922195692,0
"g__Scatomonas",0,-0.021964341189792,0
"g__Schaedlerella",0,0.0110566504539029,0
"g__Sellimonas",0,-0.000708024060828942,0
"g__UMGS1375",0,0.0100045250858256,0
"g__Ventrimonas",0,-0.00514017370742295,0
"g__Monoglobus",0,-0.00135016140177683,0
"f__Acutalibacteraceae",0,0.00261855583077842,0
