"Model","DataType","R2","MAE","RMSE"
"lasso_model","Train",NA,0.7944140090113,0.998108950866026
"lasso_model","Test",NA,0.752943599970574,0.993268709873004
"ridge_model","Train",0.615459144757446,0.621215034127254,0.768873882457332
"ridge_model","Test",0.158082298867502,0.717308874710231,0.92127007284551
"elastic_net_model","Train",NA,0.7944140090113,0.998108950866026
"elastic_net_model","Test",NA,0.752943599970574,0.993268709873004
"rf_model","Train",0.96363885297963,0.363666326282096,0.456149980930065
"rf_model","Test",0.0626886825852473,0.739726401283624,0.96504108592569
"xgb_model","Train",0.998567197698135,0.0280279071077632,0.0407520073056558
"xgb_model","Test",0.0346807604183204,0.841533773774034,1.06830824922362
