"Variable","Lasso_Beta","Ridge_Beta","Enet_Beta"
"(Intercept)",-0.0176603502570585,0.0569993120983404,-0.0176603502570585
"age",0,-0.0073844618993275,0
"sex",0,-0.00488996975365409,0
"cohort_number",0,-0.0214248148281433,0
"race",0,0.0222379680393818,0
"ethnicity",0,-0.00220875115189535,0
"education",0,0.00780586043746549,0
"rmr_kcald_BL",0.207420848800682,0.0525089276214786,0.207420848800682
"spk_EE_int_kcal_day_BL",0,0.0422018486936665,0
"avg_systolic_BL",0,0.0146617751893694,0
"avg_diastolic_BL",0,0.00706058034074292,0
"C_Reactive_Protein_BL",0,0.0134093814961522,0
"Cholesterol_lipid_BL",0,0.000846239532742243,0
"Ghrelin_BL",0,-0.00307966538359493,0
"Glucose_BL",0,-0.0148446073075073,0
"HDL_Total_Direct_lipid_BL",0,0.0064169051237661,0
"Hemoglobin_A1C_BL",0,0.00990433052922667,0
"Insulin_endo_BL",0,0.0337717774058266,0
"LDL_Calculated_BL",0,0.000835074499636661,0
"Leptin_BL",0.253251810700822,0.0626316816376186,0.253251810700822
"Peptide_YY_BL",0,0.00651235386228336,0
"Triglyceride_lipid_BL",0,-0.00587002649897644,0
"HOMA_IR_BL",0,0.0275180159461445,0
"1CMET2-PWY",0,1.49402056866507e-07,0
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY",0,1.99495617915202e-05,0
"AEROBACTINSYN-PWY",0,-8.34227382785364e-06,0
"ALL-CHORISMATE-PWY",0,-3.14840634354179e-07,0
"ANAEROFRUCAT-PWY",0,-6.83355509024093e-07,0
"ANAGLYCOLYSIS-PWY",0,3.47134204839838e-08,0
"ARG+POLYAMINE-SYN",0,5.51401135975229e-07,0
"ARGDEG-PWY",0,-0.00366956131676585,0
"ARGORNPROST-PWY",0,-1.94887009636064e-06,0
"ARGSYN-PWY",0,3.99778226084365e-07,0
"ARGSYNBSUB-PWY",0,3.79898611935824e-07,0
"ARO-PWY",0,1.9085438854764e-07,0
"ASPASN-PWY",0,-4.1680989089767e-07,0
"AST-PWY",0,1.21199675709238e-06,0
"BIOTIN-BIOSYNTHESIS-PWY",0,-1.14744711359055e-06,0
"BRANCHED-CHAIN-AA-SYN-PWY",0,1.75658554804079e-08,0
"CALVIN-PWY",0,6.95014893695345e-09,0
"CATECHOL-ORTHO-CLEAVAGE-PWY",0,-0.00394529370252961,0
"CENTFERM-PWY",0,7.42864395137264e-06,0
"CHLOROPHYLL-SYN",0,0.000306947435091029,0
"COA-PWY",0,7.11316376578577e-08,0
"COBALSYN-PWY",0,2.42123031978909e-07,0
"CODH-PWY",0,3.53929539012626e-06,0
"COLANSYN-PWY",0,-1.2123498134781e-06,0
"COMPLETE-ARO-PWY",0,1.79007745061205e-07,0
"CRNFORCAT-PWY",0,-1.73975900584639e-05,0
"DAPLYSINESYN-PWY",0,-4.98548852782647e-08,0
"DENITRIFICATION-PWY",0,-0.000416773026982306,0
"DENOVOPURINE2-PWY",0,-2.83874429151936e-08,0
"DHGLUCONATE-PYR-CAT-PWY",0,0.00881608167305818,0
"DTDPRHAMSYN-PWY",0,-3.92175732278422e-08,0
"ECASYN-PWY",0,1.14059828307469e-06,0
"ENTBACSYN-PWY",0,2.32155693919993e-07,0
"FAO-PWY",0,1.45783370931908e-06,0
"FASYN-ELONG-PWY",0,-5.22073473313762e-07,0
"FASYN-INITIAL-PWY",0,1.36864835336836e-07,0
"FERMENTATION-PWY",0,-9.51605559843542e-07,0
"FOLSYN-PWY",0,-3.19223908166649e-07,0
"FUC-RHAMCAT-PWY",0,-1.54093241262823e-07,0
"FUCCAT-PWY",0,-2.36421795725994e-06,0
"GALACT-GLUCUROCAT-PWY",0,-2.02193348974573e-06,0
"GALACTARDEG-PWY",0,-1.50980340838674e-06,0
"GALACTUROCAT-PWY",0,-1.73539903831723e-06,0
"GALLATE-DEGRADATION-I-PWY",0,-0.00901970882639316,0
"GALLATE-DEGRADATION-II-PWY",0,-0.00902281022840434,0
"GLCMANNANAUT-PWY",0,-9.19992683421685e-07,0
"GLUCARDEG-PWY",0,-1.82573942954956e-06,0
"GLUCARGALACTSUPER-PWY",0,-1.51112595431414e-06,0
"GLUCONEO-PWY",0,-5.59852592016411e-08,0
"GLUCOSE1PMETAB-PWY",0,-8.12189523847748e-07,0
"GLUCUROCAT-PWY",0,-2.23563404298194e-06,0
"GLUTORN-PWY",0,4.59271219689443e-07,0
"GLYCOCAT-PWY",0,-5.1472713882835e-08,0
"GLYCOGENSYNTH-PWY",0,3.27928492049008e-07,0
"GLYCOL-GLYOXDEG-PWY",0,-2.11798727529203e-07,0
