"Variable","RF_Importance","Lasso_Importance","Ridge_Importance","Enet_Importance","XGBoost_Importance"
"age",27.8715324083304,0,11.082137082889,0,8.7804634770308
"sex",1.74853938008834,0,7.33855978674774,0,0.0141133783898563
"cohort_number",18.3340469446958,0,32.1530178011508,0,3.42403875418732
"race",2.97402209180111,0,33.3733471195481,0,2.00989950227425
"ethnicity",1.84259457217542,0,3.31475514140339,0,0
"education",8.21221610677461,0,11.7145455684145,0,0.432688986358117
"rmr_kcald_BL",74.7472874345151,81.9030072190552,78.8021039190028,81.9030072190552,0.683753248684487
"spk_EE_int_kcal_day_BL",59.4310533967857,0,63.3338865784039,0,26.2547765710948
"avg_systolic_BL",25.2602851115331,0,22.0034722559663,0,0.030710406781594
"avg_diastolic_BL",26.7974707632297,0,10.5960759616066,0,7.59986666872699
"C_Reactive_Protein_BL",24.168138360754,0,20.1239583822143,0,1.33759226122132
"Cholesterol_lipid_BL",27.6029588975983,0,1.26998319371971,0,2.44678500408023
"Ghrelin_BL",18.1807034139506,0,4.62176857511244,0,1.52983234856795e-05
"Glucose_BL",28.2467425133437,0,22.2778552271268,0,9.73383085696223
"HDL_Total_Direct_lipid_BL",18.4159297086218,0,9.63008858315662,0,7.53059648556251
"Hemoglobin_A1C_BL",17.191815252886,0,14.8637978143172,0,0.385120404322953
"Insulin_endo_BL",56.6925670397221,0,50.682564531651,0,0.00391941274832253
"LDL_Calculated_BL",21.426554620967,0,1.25322741258117,0,0.0200526354407357
"Leptin_BL",100,100,93.9936979975701,100,74.0828670536693
"Peptide_YY_BL",23.5404184757177,0,9.77333206102377,0,7.29497639489764
"Triglyceride_lipid_BL",25.2831410750384,0,8.8093674567909,0,0.345576076943675
"HOMA_IR_BL",72.29048750706,0,41.2973117231563,0,100
"1CMET2-PWY",13.885955136551,0,0.000224213232762565,0,0.00912139489020188
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY",4.14663196041148,0,0.0299390506080512,0,0.0294181856880766
"AEROBACTINSYN-PWY",4.61710357680311,0,0.0125195611276281,0,0
"ALL-CHORISMATE-PWY",10.8196504326385,0,0.000472493069467188,0,0
"ANAEROFRUCAT-PWY",29.7408344195966,0,0.00102553707102776,0,11.5837374771489
"ANAGLYCOLYSIS-PWY",15.5645706371672,0,5.20957233802656e-05,0,0.00165577512437566
"ARG+POLYAMINE-SYN",19.7097071023424,0,0.000827508227389556,0,0.00644213933097705
"ARGDEG-PWY",0.612271604076375,0,5.50704737878997,0,0
"ARGORNPROST-PWY",24.4019075779867,0,0.00292474195940785,0,0.133525813646074
"ARGSYN-PWY",15.9669191541746,0,0.000599962077754724,0,0
"ARGSYNBSUB-PWY",14.2283265976682,0,0.000570128000180415,0,0
