"Model","DataType","R2","MAE","RMSE"
"lasso_model","Train",0.361224009216868,0.674997731059281,0.855967662581066
"lasso_model","Test",0.262167869817315,0.687141858783399,0.8721737899237
"ridge_model","Train",0.549586032886624,0.590738230578359,0.761152625591427
"ridge_model","Test",0.187594612667456,0.702811421304536,0.920078145004605
"elastic_net_model","Train",0.361224009216868,0.674997731059281,0.855967662581066
"elastic_net_model","Test",0.262167869817315,0.687141858783399,0.8721737899237
"rf_model","Train",0.961887642880741,0.29760919062598,0.38610111827087
"rf_model","Test",0.058943943402082,0.733390287591789,0.966010216165932
"xgb_model","Train",0.999395737031794,0.00502324340327451,0.0245464444692538
"xgb_model","Test",0.0904629266640427,0.772957897261012,0.991905661058109
