"Variable","RF_Importance","Lasso_Importance","Ridge_Importance","Enet_Importance","XGBoost_Importance"
"1CMET2-PWY",45.8883504325427,NA,0.000609589771834144,NA,0
"3-HYDROXYPHENYLACETATE-DEGRADATION-PWY",12.5117481379983,NA,0.0087063636420551,NA,0
"AEROBACTINSYN-PWY",11.1280471443968,NA,0.0743651945177016,NA,0
"ALL-CHORISMATE-PWY",31.2213462191915,NA,0.00181392959625547,NA,19.3724393752233
"ANAEROFRUCAT-PWY",58.6712542647189,NA,0.00110725838885012,NA,0
"ANAGLYCOLYSIS-PWY",49.5082757955986,NA,3.0790902141369e-06,NA,0
"ARG+POLYAMINE-SYN",47.030162954183,NA,0.00177669876296091,NA,0
"ARGDEG-PWY",2.11260379265249,NA,5.73753226394683,NA,0
"ARGORNPROST-PWY",50.4546102139607,NA,0.00612792976105027,NA,0
"ARGSYN-PWY",42.6674100899814,NA,0.00072635126593894,NA,0
"ARGSYNBSUB-PWY",39.3105370830549,NA,0.000635652035865633,NA,0
"ARO-PWY",58.0020546571824,NA,0.000402399430637727,NA,0
"ASPASN-PWY",47.757435545896,NA,0.000572384116665966,NA,0
"AST-PWY",29.4434144832587,NA,0.00151459254299737,NA,0
"BIOTIN-BIOSYNTHESIS-PWY",47.7824275776646,NA,0.00126178115223905,NA,17.1027774143827
"BRANCHED-CHAIN-AA-SYN-PWY",49.0208095440368,NA,3.64123612984998e-05,NA,0
"CALVIN-PWY",52.9207120930582,NA,7.10180693248682e-05,NA,0
"CATECHOL-ORTHO-CLEAVAGE-PWY",7.56793078420075,NA,7.65780210172255,NA,0
"CENTFERM-PWY",56.6405215768154,NA,0.0175458543947653,NA,0
"CHLOROPHYLL-SYN",4.45885923164319,NA,0.66822290696134,NA,0
"COA-PWY",47.7860056867924,NA,0.000110561386704934,NA,0
"COBALSYN-PWY",70.6054809235553,NA,0.000706415981012457,NA,11.799092190249
"CODH-PWY",50.6086345282003,NA,0.0114310027901628,NA,11.0493108038187
"COLANSYN-PWY",55.8058853990689,NA,0.00235191393122436,NA,0
"COMPLETE-ARO-PWY",62.1762769359082,NA,0.000374468173854054,NA,0
"CRNFORCAT-PWY",2.74430407472151,NA,0.0427576624967685,NA,0
"DAPLYSINESYN-PWY",46.2908440526861,NA,0.000254216968509857,NA,0
"DENITRIFICATION-PWY",4.55889183477987,NA,1.04204818053595,NA,0
"DENOVOPURINE2-PWY",62.5032375419714,NA,0.000677110612517936,NA,0
"DHGLUCONATE-PYR-CAT-PWY",0.967427369905964,NA,21.3529378157102,NA,0
"DTDPRHAMSYN-PWY",46.3194946358742,NA,3.26018121824714e-05,NA,0
"ECASYN-PWY",28.9868851656378,NA,0.00139727463962255,NA,0
"ENTBACSYN-PWY",30.7356333958692,NA,0.000125742909096647,NA,0
"FAO-PWY",40.6537147091055,NA,0.00289025926302828,NA,0
"FASYN-ELONG-PWY",49.6489248122851,NA,0.000931441973144662,NA,0
"FASYN-INITIAL-PWY",43.0781953415015,NA,0.00157641768989329,NA,0
"FERMENTATION-PWY",59.7645473161853,NA,0.00149402774579673,NA,0
"FOLSYN-PWY",50.8644111951255,NA,0.000475304484828474,NA,0
"FUC-RHAMCAT-PWY",58.189187667727,NA,0.001621093561379,NA,8.37520260147527
"FUCCAT-PWY",48.6569587373348,NA,0.00497910104848841,NA,7.23538585845372
"GALACT-GLUCUROCAT-PWY",54.0394333615759,NA,0.0035535577524951,NA,0
"GALACTARDEG-PWY",39.9015624315363,NA,0.00351575980596983,NA,0
"GALACTUROCAT-PWY",50.2655802299759,NA,0.00274739521497056,NA,0
"GALLATE-DEGRADATION-I-PWY",8.11341817389665,NA,16.7813655783843,NA,0
"GALLATE-DEGRADATION-II-PWY",9.3229670144891,NA,16.7966833314838,NA,0
"GLCMANNANAUT-PWY",43.3938813146188,NA,0.0018607573872497,NA,0
"GLUCARDEG-PWY",43.8613056064747,NA,0.00454798156392387,NA,11.8597245668191
"GLUCARGALACTSUPER-PWY",40.9373388593577,NA,0.00353625325162363,NA,0
"GLUCONEO-PWY",67.1488391288827,NA,2.39169761711654e-05,NA,0
"GLUCOSE1PMETAB-PWY",37.0562406549608,NA,0.00160481478223757,NA,0
"GLUCUROCAT-PWY",54.2937185989866,NA,0.00441308941600057,NA,7.79669166020942
"GLUTORN-PWY",38.9015803348644,NA,0.000782516212942159,NA,0
