"Model","DataType","R2","MAE","RMSE"
"lasso_model","Train",NA,0.7944140090113,0.998108950866026
"lasso_model","Test",NA,0.752943599970574,0.993268709873004
"ridge_model","Train",0.494161786465825,0.595675944055687,0.771766359073876
"ridge_model","Test",0.0827805949145431,0.887666851037919,1.48817308457071
"elastic_net_model","Train",NA,0.7944140090113,0.998108950866026
"elastic_net_model","Test",NA,0.752943599970574,0.993268709873004
"rf_model","Train",0.954774913173928,0.320721944789988,0.414460733853219
"rf_model","Test",0.0324604739987652,0.740967996577626,0.983590042155587
"xgb_model","Train",0.851743081360504,0.321752209564149,0.415553645369281
"xgb_model","Test",0.0163270311229312,0.855310932755255,1.08254093443199
