"Variable","Lasso_Beta","Ridge_Beta","Enet_Beta"
"(Intercept)",0.108795949082225,-0.00523925578284775,-0.0172280394674313
"age",0,-0.00849910932406463,0
"sex",0,-0.00593036249113321,0
"cohort_number",-0.00861461326085559,-0.0239995688905146,0
"race",0.00184778691485888,0.0222243569467329,0
"ethnicity",0,-0.00332134775299325,0
"education",0,0.00737410345319801,0
"rmr_kcald_BL",0.261412531073491,0.057041672548464,0.208477612735372
"spk_EE_int_kcal_day_BL",0.0834155438153286,0.0467220095571671,0
"avg_systolic_BL",0,0.0149924277065524,0
"avg_diastolic_BL",0,0.00388771564364574,0
"C_Reactive_Protein_BL",0,0.0130293284273864,0
"Cholesterol_lipid_BL",0,-0.00233459755287647,0
"Ghrelin_BL",0,-0.00477525867095646,0
"Glucose_BL",0,-0.0127144716444258,0
"HDL_Total_Direct_lipid_BL",0,0.0073162293552294,0
"Hemoglobin_A1C_BL",0,0.00902723531599807,0
"Insulin_endo_BL",0,0.0366122819341455,0
"LDL_Calculated_BL",0,-0.00451534476052863,0
"Leptin_BL",0.375672140510919,0.0638340839171137,0.253065163774211
"Peptide_YY_BL",0,0.00972066675161601,0
"Triglyceride_lipid_BL",0,-0.00393065884463951,0
"HOMA_IR_BL",0,0.0301418739629092,0
"1CMET2-PWY",0,6.155968074319e-08,0
"ALL-CHORISMATE-PWY",0,-6.54494982407004e-07,0
"ANAEROFRUCAT-PWY",0,-7.01964377967554e-07,0
"ANAGLYCOLYSIS-PWY",0,7.54046821840341e-08,0
"ARG+POLYAMINE-SYN",0,7.10383785992126e-07,0
"ARGORNPROST-PWY",0,-1.331844004503e-06,0
"ARGSYN-PWY",0,4.72380400927792e-07,0
"ARGSYNBSUB-PWY",0,4.45769265969763e-07,0
"ARO-PWY",0,2.21682659109677e-07,0
"ASPASN-PWY",0,-4.73015750977158e-07,0
"AST-PWY",0,1.09746653927442e-06,0
"BIOTIN-BIOSYNTHESIS-PWY",0,-1.25986015641738e-06,0
"BRANCHED-CHAIN-AA-SYN-PWY",0,5.33501136247405e-08,0
"CALVIN-PWY",0,4.51997265579743e-08,0
"CENTFERM-PWY",0,7.46130660861706e-06,0
"COA-PWY",0,1.03963150873648e-07,0
"COBALSYN-PWY",0,3.05690475476737e-07,0
"CODH-PWY",0,4.51246485342366e-06,0
"COLANSYN-PWY",0,-1.26796856768223e-06,0
"COMPLETE-ARO-PWY",0,2.043564127142e-07,0
"DAPLYSINESYN-PWY",0,8.45466020442097e-09,0
"DENOVOPURINE2-PWY",0,1.353199473112e-07,0
"DTDPRHAMSYN-PWY",0,-7.2869658106609e-08,0
"ECASYN-PWY",0,1.08747713167071e-06,0
"ENTBACSYN-PWY",0,1.0027072585934e-07,0
"FAO-PWY",0,1.63520628962449e-06,0
"FASYN-ELONG-PWY",0,-6.28612618089233e-07,0
