"Variable","RF_Importance","Lasso_Importance","Ridge_Importance","Enet_Importance","XGBoost_Importance"
"age",25.0671737506196,0,13.3143730815952,0,0
"sex",0,0,9.29027383432999,0,0
"cohort_number",14.0875890262806,2.29312007250247,37.5967923819175,0,0
"race",0.720526613624072,0.491861577051167,34.8158141418175,0,0
"ethnicity",0.164963818660832,0,5.20309244718194,0,0
"education",6.850554921552,0,11.5519824792652,0,0
"rmr_kcald_BL",64.5212345652869,69.5852853815475,89.3592715618041,82.3810000658086,23.1330800296756
"spk_EE_int_kcal_day_BL",54.8362479430434,22.2043465086025,73.1928874156804,0,30.2159395079025
"avg_systolic_BL",20.2563614954312,0,23.4865540377867,0,0
"avg_diastolic_BL",25.3356451838721,0,6.0903424374229,0,4.07299208740606
"C_Reactive_Protein_BL",19.9905692302137,0,20.4112387788735,0,0
"Cholesterol_lipid_BL",25.647423708947,0,3.65728782111947,0,2.58570702400684
"Ghrelin_BL",15.1469821112731,0,7.48073295093282,0,0
"Glucose_BL",29.7433515380542,0,19.9179963436655,0,7.44448616237836
"HDL_Total_Direct_lipid_BL",14.6370635400101,0,11.4613191600599,0,3.41529209215716
"Hemoglobin_A1C_BL",14.5744656302531,0,14.1417147952102,0,0
"Insulin_endo_BL",52.2489602599473,0,57.355379882316,0,0
"LDL_Calculated_BL",19.0272651210172,0,7.07356189074984,0,0
"Leptin_BL",100,100,100,100,100
"Peptide_YY_BL",20.4433811990063,0,15.2280176111695,0,13.7008835275836
"Triglyceride_lipid_BL",20.4310395465569,0,6.15761559201283,0,0
"HOMA_IR_BL",67.1123341585669,0,47.2190894885923,0,67.7748150946206
"1CMET2-PWY",11.1917418463881,0,9.41995076380877e-05,0,0
"ALL-CHORISMATE-PWY",8.00037722799281,0,0.00102306897445876,0,0
"ANAEROFRUCAT-PWY",26.0685561574095,0,0.00109743269006298,0,0
"ANAGLYCOLYSIS-PWY",11.8080591267474,0,0.000115888550389298,0,0
"ARG+POLYAMINE-SYN",18.8230682976369,0,0.00111062220841479,0,0
"ARGORNPROST-PWY",19.0889890932638,0,0.00208417770460238,0,0
"ARGSYN-PWY",13.1291470476476,0,0.000737775328214072,0,0
"ARGSYNBSUB-PWY",10.4154441656852,0,0.000696087355393771,0,0
"ARO-PWY",16.5076660367112,0,0.000345041960640401,0,0
"ASPASN-PWY",16.6971078356835,0,0.000738770642981033,0,0
"AST-PWY",7.47340860795987,0,0.00171701104990877,0,0
"BIOTIN-BIOSYNTHESIS-PWY",13.5105016109843,0,0.00197141059762906,0,0
"BRANCHED-CHAIN-AA-SYN-PWY",13.3139165623373,0,8.13387179182907e-05,0,0
"CALVIN-PWY",15.5836570828364,0,6.85706373741815e-05,0,0
"CENTFERM-PWY",21.0891189333008,0,0.0116863562981259,0,0
"COA-PWY",14.4550881439456,0,0.0001606271407726,0,0
"COBALSYN-PWY",28.7961759949077,0,0.000476645350384065,0,57.637445273361
"CODH-PWY",19.9293041028851,0,0.00706681507465858,0,0
"COLANSYN-PWY",21.3938334058339,0,0.00198411292050848,0,0
"COMPLETE-ARO-PWY",19.0996559658,0,0.000317899334444574,0,0
"DAPLYSINESYN-PWY",12.2370697861205,0,1.10072403284318e-05,0,0
"DENOVOPURINE2-PWY",27.652926230254,0,0.000209749482968152,0,0
"DTDPRHAMSYN-PWY",15.1794533940608,0,0.000111917279904023,0,0
"ECASYN-PWY",6.95354495561203,0,0.00170136203105515,0,0
"ENTBACSYN-PWY",10.2090259642567,0,0.00015484273082991,0,0
"FAO-PWY",13.0367757229119,0,0.00255941330491762,0,0
"FASYN-ELONG-PWY",15.8302548214127,0,0.000982522665482988,0,0
"FASYN-INITIAL-PWY",14.7729848813783,0,0.000135644638095001,0,0
"FERMENTATION-PWY",21.3391723990892,0,0.00168511934132333,0,0
"FOLSYN-PWY",15.169602625453,0,0.000731651626943419,0,0
"FUC-RHAMCAT-PWY",24.2797708876955,0,0.00190908477886643,0,0
"FUCCAT-PWY",15.7897096934896,0,0.00365042036589443,0,0
"GALACT-GLUCUROCAT-PWY",21.4835165953677,0,0.00382452393819467,0,0
"GALACTARDEG-PWY",12.8834598033613,0,0.00203337357230256,0,0
"GALACTUROCAT-PWY",19.9233834540274,0,0.00333274131712875,0,0
"GLCMANNANAUT-PWY",14.3159358991565,0,0.00186561108634886,0,0
"GLUCARDEG-PWY",16.051905904689,0,0.00256376514444206,0,0
"GLUCARGALACTSUPER-PWY",14.0457103472131,0,0.00203487801926096,0,0
"GLUCONEO-PWY",27.8908840871041,0,3.40721393707445e-06,0,0
"GLUCOSE1PMETAB-PWY",13.0058930793133,0,0.000873118865374835,0,0
"GLUCUROCAT-PWY",20.5776406436488,0,0.0040384732213852,0,0
"GLUTORN-PWY",10.1910023503944,0,0.000809938402580421,0,0
"GLYCOCAT-PWY",12.8950574129432,0,9.12232119595926e-07,0,0
"GLYCOGENSYNTH-PWY",20.2403867586769,0,0.000545624051216308,0,0
"GLYCOL-GLYOXDEG-PWY",13.026943690515,0,0.000216134055178194,0,0
"GLYCOLYSIS",25.0108733212872,0,0.000941602825533729,0,0
"GLYCOLYSIS-E-D",15.3704072695235,0,0.00225795253048944,0,0
"GLYCOLYSIS-TCA-GLYOX-BYPASS",8.53004166989968,0,0.000785018579933628,0,0
"GLYOXYLATE-BYPASS",10.8321030211724,0,0.0016252429777311,0,0
"GOLPDLCAT-PWY",31.2431620041165,0.0522897173824877,0.164128597406637,0,0
"HEME-BIOSYNTHESIS-II",12.9123764688854,0,0.0145543831009838,0,0
"HEMESYN2-PWY",12.5223534288807,0,0.0038313578541334,0,3.95123837275776
"HEXITOLDEGSUPER-PWY",31.8184006288214,0,0.00494898830383112,0,31.5563121245248
"HISDEG-PWY",19.4897201416758,0,0.000939676117344681,0,0
"HISTSYN-PWY",17.5633739931588,0,0.000647116066486791,0,0
"HOMOSER-METSYN-PWY",12.9307527364915,0,0.00124337430733992,0,0
"HSERMETANA-PWY",14.0394872253269,0,0.00118000293660161,0,0
"ILEUSYN-PWY",12.6186147164687,0,0.000127179674364893,0,0
"KDO-NAGLIPASYN-PWY",14.4160643712928,0,0.00132578048703592,0,0
"KETOGLUCONMET-PWY",7.82888203326259,0,0.000735870919873796,0,0
"LACTOSECAT-PWY",12.7460068521125,0,0.0485244572288133,0,0
"LEU-DEG2-PWY",3.18483216319176,0,0.892343078363126,0,0
"LPSSYN-PWY",7.31587264873484,0,0.00140404413716237,0,0
"MET-SAM-PWY",13.161570187151,0,0.00107333568927256,0,0
"METH-ACETATE-PWY",17.7396595706356,0,0.00231150798215843,0,0
"METHANOGENESIS-PWY",6.06599422760206,0,0.00144753805713744,0,0
"METHGLYUT-PWY",10.0708162826549,0,0.000473105387279962,0,0
"NAD-BIOSYNTHESIS-II",15.3817064546841,0,0.00611216891911662,0,0
"NAGLIPASYN-PWY",14.8863273670031,0,0.00141470131369847,0,0
"NONMEVIPP-PWY",19.2275879251317,0,0.000181074962281979,0,0
"NONOXIPENT-PWY",12.6608646726556,0,0.000144110432671307,0,0
"OANTIGEN-PWY",22.1488663041967,0,0.00056233413750572,0,0
"P105-PWY",8.69016141174671,0,0.000863604437620804,0,0
"P108-PWY",18.5205424155216,0,9.30210126190834e-05,0,0
"P122-PWY",17.5843175678774,0,0.00237955629404702,0,0
"P124-PWY",14.9761411172707,0,0.00115210311743173,0,0
"P125-PWY",20.0934421332933,0,0.00337979292550787,0,0
"P161-PWY",19.1836767885323,0,0.000933533554718483,0,0
"P162-PWY",14.5406988887848,0,0.0303511946157473,0,0
"P163-PWY",20.7708322532776,0,0.021121096888345,0,0
"P164-PWY",22.2831514622817,0,0.00169621888731749,0,0
"P221-PWY",17.8871497880757,0,0.00547663277399925,0,0
"P23-PWY",13.5267430447891,0,0.00212358279299381,0,5.66323048740736
"P241-PWY",5.29620140077797,0,0.00130435786462189,0,0
"P261-PWY",6.57097119331057,0,0.000638364530252826,0,0
"P341-PWY",11.8225305094325,0,0.0499289728830816,0,0
"P4-PWY",16.7986411595968,0,0.00105591005558286,0,0
"P42-PWY",20.0335863347815,0,0.000343207724603007,0,0
"P441-PWY",13.8525549168052,0,0.0014665498542615,0,0
"P461-PWY",28.2685728651404,0.00147611430783956,0.00473562929866376,0,14.7956044800117
"P562-PWY",22.7360882107425,0,0.0155553733032589,0,3.06824638889181
"PANTO-PWY",21.2246164883175,0,0.00296191971351215,0,4.77665636454813
"PANTOSYN-PWY",19.6497798635111,0,0.0024262397317342,0,0
"PENTOSE-P-PWY",18.2568469703312,0,3.53266729486682e-05,0,0
"PEPTIDOGLYCANSYN-PWY",15.1490625555567,0,0.00014163825349237,0,0
"PHOSLIPSYN-PWY",21.7129748871947,0,0.000339849815445439,0,0
"POLYAMINSYN3-PWY",30.9135019409809,0.00311384138240462,0.00936369406884514,0,0
"POLYAMSYN-PWY",21.4174765159753,0,0.000989902867152697,0,0
"POLYISOPRENSYN-PWY",15.4244509952374,0,0.00131256270273615,0,0
"PPGPPMET-PWY",14.9432117053053,0,0.00302830254445237,0,0
"PRPP-PWY",16.1228576710018,0,0.00112120067667522,0,0
"PWY-1269",14.3107082634544,0,0.00125093181338099,0,0
"PWY-181",3.87571735892477,0,0.15637268761537,0,0
"PWY-1861",17.5071129096719,0,0.00170327041091006,0,0
"PWY-2941",23.3454581389409,0,0.000877498148072639,0,0
"PWY-2942",15.0867122892061,0,0.000115439905532148,0,0
"PWY-3001",12.0378842289212,0,9.49395859494285e-05,0,0
"PWY-3781",28.7916033061788,0,0.00155061399789384,0,4.1679970224508
"PWY-4984",16.6708207321055,0,0.000595929298125099,0,0
"PWY-5005",21.2698784049894,0,0.00125661419999213,0,0
"PWY-5022",15.6581466468924,0,0.00433989666874891,0,0
"PWY-5028",7.04249875002668,0,0.0656914879776595,0,0
"PWY-5097",11.3393127862964,0,7.65500344449455e-05,0,0
"PWY-5100",11.2568157607565,0,0.000244953642421259,0,0
"PWY-5101",16.1086210216616,0,4.63410298116562e-05,0,0
"PWY-5103",12.8368863279147,0,0.000113811577495632,0,0
"PWY-5104",15.2024349527036,0,0.000231202797407233,0,0
"PWY-5121",18.0806270815611,0,0.000168298409808752,0,0
"PWY-5154",17.5584859554373,0,0.00223767427030039,0,0
"PWY-5177",21.38794236353,0,0.00715877433595576,0,0
"PWY-5188",15.7308522608067,0,0.00179432000925581,0,0
"PWY-5189",16.9350947081225,0,0.00178616110337936,0,0
"PWY-5198",4.87973229474633,0,0.00252879347747482,0,0
"PWY-5265",12.8219898516677,0,0.00956110646740218,0,0
"PWY-5304",30.5733406805286,0,0.00392388235395146,0,0
"PWY-5345",10.6858260631407,0,0.00200847904802759,0,0
"PWY-5347",13.2145522707985,0,0.000951550583274357,0,0
"PWY-5384",31.2050945939365,0,0.0018647983823831,0,0
"PWY-5484",25.9791540034383,0,0.00143557938724646,0,0
"PWY-5505",11.9673650958077,0,0.00122097815663329,0,0
"PWY-5509",30.1063810467567,0,0.000262288664157882,0,0
"PWY-5532",10.8426463949884,0,0.329386115224554,0,0
"PWY-5659",24.6332376132655,0,0.00402541946978315,0,0
"PWY-5667",17.6817299800298,0,0.0005708069805165,0,0
"PWY-5676",12.4303421299756,0,0.00318210605501056,0,0
"PWY-5677",12.2022758350087,0,0.00756538173382043,0,0
"PWY-5686",11.7627117228731,0,0.000157576441883513,0,0
"PWY-5695",29.9913830100197,0,0.00275983316310569,0,0
"PWY-5705",25.0990253671591,0,0.0100485359588814,0,0
"PWY-5747",10.0222269025202,0,0.00217144804288695,0,0
"PWY-5837",15.6846350494379,0,0.00575280980750138,0,0
"PWY-5838",15.1830871858011,0,0.00336269503841568,0,0
"PWY-5840",12.7692301427873,0,0.00354061136667024,0,0
"PWY-5845",19.5046575607458,0,0.00471039757907586,0,0
"PWY-5850",20.6565639553409,0,0.00471598649524821,0,0
"PWY-5855",10.9493174485369,0,0.000121702094039764,0,0
"PWY-5856",11.0479414044573,0,0.00011631780310988,0,0
"PWY-5857",13.2131318127636,0,0.000112978319248633,0,0
"PWY-5860",19.9528188141763,0,0.00546486241249714,0,9.904952565779
"PWY-5861",15.3219325161282,0,0.0038905723090101,0,0
"PWY-5862",19.963008081705,0,0.00546735281029482,0,0
"PWY-5863",13.0892899654526,0,0.0052973178611408,0,0
"PWY-5896",19.478688951026,0,0.00473030625786815,0,0
"PWY-5897",14.0170580080875,0,0.00374610504689138,0,0
"PWY-5898",13.5812440710067,0,0.00374630525819449,0,0
"PWY-5899",13.6667052015382,0,0.00374601582028135,0,0
"PWY-5910",27.2419177312718,0,0.0452949662319897,0,0
"PWY-5913",41.086111712697,0,0.00553426270293039,0,41.491995358172
"PWY-5918",13.3250936973275,0,0.013202597939931,0,0
"PWY-5920",16.2475689378438,0,0.0151090241695519,0,0
"PWY-5971",23.6403531547129,0,0.000863282774683975,0,3.90889983052467
"PWY-5973",21.6336749479554,0,0.000691292090029637,0,0
"PWY-5989",12.5304963266176,0,0.000128452480707458,0,0
"PWY-6121",13.9766825623183,0,0.000245607432930594,0,0
"PWY-6122",12.6422459529173,0,0.000286548285465637,0,0
"PWY-6123",13.6809397519979,0,0.000208631373216623,0,0
"PWY-6125",19.8208505833608,0,0.000380721868116758,0,0
"PWY-6126",16.7372228832654,0,0.000274052260676557,0,0
"PWY-6141",5.23907996687903,0,0.0015291405733259,0,0
"PWY-6147",15.4011223690835,0,0.000436818279541656,0,0
"PWY-6148",5.8294641203093,0,0.000766052191361957,0,0
"PWY-6151",21.8351765438031,0,0.000118863720287988,0,0
"PWY-6163",14.5252871238551,0,0.000350758194205419,0,0
