"Model","DataType","R2","MAE","RMSE"
"lasso_model","Train",0.443749651239835,0.602632346665463,0.771496152133479
"lasso_model","Test",0.261531677001644,0.660266207116899,0.85498265864916
"ridge_model","Train",0.50302695588691,0.626398443420494,0.797578779277714
"ridge_model","Test",0.175036163825481,0.697677182633649,0.90426948741419
"elastic_net_model","Train",0.358728998267213,0.675226927770634,0.856678549522789
"elastic_net_model","Test",0.262001689522992,0.6871230742464,0.872080203415435
"rf_model","Train",0.961909605495941,0.298723010079519,0.386684721980287
"rf_model","Test",0.0604864054244833,0.732282683063872,0.965102316059388
"xgb_model","Train",0.902798518187901,0.302326976703193,0.384871656854093
"xgb_model","Test",0.0560864378238037,0.80770664690117,1.02260182293571
