"Variable","Lasso_Beta","Ridge_Beta","Enet_Beta"
"(Intercept)",-0.0138984936542087,-0.0336535021414043,-0.0138984936542087
"1CMET2-PWY",0,2.8169463475263e-07,0
"ALL-CHORISMATE-PWY",0,-2.3273933954091e-06,0
"ANAEROFRUCAT-PWY",0,-7.90129962151596e-07,0
"ANAGLYCOLYSIS-PWY",0,7.98169299019363e-08,0
"ARG+POLYAMINE-SYN",0,1.38687657678922e-06,0
"ARGORNPROST-PWY",0,-2.87226518077113e-06,0
"ARGSYN-PWY",0,6.43127164531075e-07,0
"ARGSYNBSUB-PWY",0,5.50894918812222e-07,0
"ARO-PWY",0,3.40706344074039e-07,0
"ASPASN-PWY",0,-5.21425900053114e-07,0
"AST-PWY",0,6.7538753440643e-07,0
"BIOTIN-BIOSYNTHESIS-PWY",0,-1.01483237024466e-06,0
"BRANCHED-CHAIN-AA-SYN-PWY",0,9.10451325480907e-08,0
"CALVIN-PWY",0,3.28519865726149e-08,0
"CENTFERM-PWY",0,1.25854883859641e-05,0
"COA-PWY",0,1.35877154296922e-07,0
"COBALSYN-PWY",0,6.41369075544055e-07,0
"CODH-PWY",0,1.16122499618249e-05,0
"COLANSYN-PWY",0,-1.74307015191799e-06,0
"COMPLETE-ARO-PWY",0,3.07459481121197e-07,0
"DAPLYSINESYN-PWY",0,-8.54210512024865e-08,0
"DENOVOPURINE2-PWY",0,-1.40251536256143e-07,0
"DTDPRHAMSYN-PWY",0,-1.02688757933321e-07,0
"ECASYN-PWY",0,7.00686781313971e-07,0
"ENTBACSYN-PWY",0,-3.61468909019845e-07,0
"FAO-PWY",0,2.41739421435003e-06,0
"FASYN-ELONG-PWY",0,-7.97901386216785e-07,0
"FASYN-INITIAL-PWY",0,1.11560738834539e-06,0
"FERMENTATION-PWY",0,-1.21598857084437e-06,0
"FOLSYN-PWY",0,-5.85617122174767e-07,0
"FUC-RHAMCAT-PWY",0,-1.19021905951578e-06,0
"FUCCAT-PWY",0,-3.35365291681035e-06,0
"GALACT-GLUCUROCAT-PWY",0,-3.40340666778014e-06,0
"GALACTARDEG-PWY",0,-1.88393617644752e-06,0
"GALACTUROCAT-PWY",0,-2.71454808217641e-06,0
"GLCMANNANAUT-PWY",0,-1.95300144881825e-06,0
"GLUCARDEG-PWY",0,-2.51354895075617e-06,0
"GLUCARGALACTSUPER-PWY",0,-1.87919947954062e-06,0
"GLUCONEO-PWY",0,2.048775924909e-07,0
"GLUCOSE1PMETAB-PWY",0,-1.04822497231311e-06,0
"GLUCUROCAT-PWY",0,-3.89533688158894e-06,0
"GLUTORN-PWY",0,6.46828577034161e-07,0
"GLYCOCAT-PWY",0,1.18051036585737e-07,0
"GLYCOGENSYNTH-PWY",0,5.94674811501968e-07,0
"GLYCOL-GLYOXDEG-PWY",0,-1.12589947243292e-06,0
"GLYCOLYSIS",0,-6.80852140105007e-07,0
"GLYCOLYSIS-E-D",0,2.6893017229289e-06,0
"GLYCOLYSIS-TCA-GLYOX-BYPASS",0,3.23010887808376e-07,0
"GLYOXYLATE-BYPASS",0,1.10532065144855e-06,0
"GOLPDLCAT-PWY",0,-0.000158615996627405,0
"HEME-BIOSYNTHESIS-II",0,1.65825823986871e-05,0
"HEMESYN2-PWY",0,4.6900754959768e-06,0
"HEXITOLDEGSUPER-PWY",0,5.11557142942029e-06,0
"HISDEG-PWY",0,2.78003375507974e-06,0
"HISTSYN-PWY",0,6.74380585136867e-07,0
"HOMOSER-METSYN-PWY",0,1.08185035524672e-06,0
"HSERMETANA-PWY",0,1.00637273835448e-06,0
"ILEUSYN-PWY",0,-9.70287635665063e-08,0
"KDO-NAGLIPASYN-PWY",0,3.762632237883e-07,0
"KETOGLUCONMET-PWY",0,-1.54966184103581e-08,0
"LACTOSECAT-PWY",0,-5.55298394277053e-05,0
"LEU-DEG2-PWY",0,-0.000860152913309365,0
"LPSSYN-PWY",0,1.09274322201918e-06,0
"MET-SAM-PWY",0,9.97581000709984e-07,0
"METH-ACETATE-PWY",0,-2.50633529356349e-06,0
"METHANOGENESIS-PWY",0,4.112428307901e-06,0
"METHGLYUT-PWY",0,-7.37851808078874e-07,0
"NAD-BIOSYNTHESIS-II",0,4.78182469772644e-06,0
"NAGLIPASYN-PWY",0,-9.20438793028716e-07,0
"NONMEVIPP-PWY",0,1.35051081850929e-07,0
"NONOXIPENT-PWY",0,7.29428006326372e-08,0
"OANTIGEN-PWY",0,5.08625519889389e-07,0
"P105-PWY",0,1.7627181934619e-07,0
"P108-PWY",0,6.47876404186269e-07,0
"P122-PWY",0,-1.85767484262078e-06,0
"P124-PWY",0,-8.65104241650104e-07,0
"P125-PWY",0,3.44590851896398e-06,0
"P161-PWY",0,-1.09296292603754e-06,0
"P162-PWY",0,4.60319166463831e-05,0
"P163-PWY",0,-2.0751862301863e-05,0
"P164-PWY",0,-1.63553469145762e-06,0
"P221-PWY",0,5.03127963822289e-06,0
"P23-PWY",0,2.05453964133052e-06,0
"P241-PWY",0,1.22051919400097e-06,0
"P261-PWY",0,3.84078445816671e-06,0
"P341-PWY",0,-5.6286601347671e-05,0
"P4-PWY",0,-8.82081817106001e-07,0
"P42-PWY",0,2.88059763820645e-07,0
"P441-PWY",0,1.52083084882313e-06,0
"P461-PWY",0,3.86510407979967e-06,0
"P562-PWY",0,1.42072768361397e-05,0
"PANTO-PWY",0,3.42443219756385e-06,0
"PANTOSYN-PWY",0,2.78970841598817e-06,0
"PENTOSE-P-PWY",0,5.5470757436079e-07,0
"PEPTIDOGLYCANSYN-PWY",0,8.14758839997026e-08,0
"PHOSLIPSYN-PWY",0,3.14180608160047e-07,0
"POLYAMINSYN3-PWY",0,9.14267659428448e-06,0
"POLYAMSYN-PWY",0,6.69530025152563e-07,0
"POLYISOPRENSYN-PWY",0,-1.02019598874641e-06,0
"PPGPPMET-PWY",0,-4.62326813952802e-06,0
"PRPP-PWY",0,-7.02569060212384e-07,0
"PWY-1269",0,-9.12890285194759e-07,0
"PWY-181",0,-0.000168280490714841,0
"PWY-1861",0,-2.31972925661605e-06,0
"PWY-2941",0,-6.56895323321062e-07,0
"PWY-2942",0,7.2939898659459e-08,0
"PWY-3001",0,-1.57551774630798e-07,0
"PWY-3781",0,-4.22635027344516e-06,0
"PWY-4984",0,2.7617125431559e-07,0
"PWY-5005",0,2.06846517880969e-06,0
"PWY-5022",0,5.32210830454677e-06,0
"PWY-5028",0,6.73565546529652e-05,0
"PWY-5097",0,5.38298940033091e-08,0
"PWY-5100",0,1.67126503511905e-07,0
"PWY-5101",0,4.72288623444288e-08,0
"PWY-5103",0,1.35413907530141e-07,0
"PWY-5104",0,2.04425301943129e-07,0
"PWY-5121",0,1.14785100119706e-07,0
"PWY-5154",0,-1.87298021236641e-06,0
"PWY-5177",0,7.89823128367577e-06,0
"PWY-5188",0,1.45355285744073e-06,0
"PWY-5189",0,1.43705207157192e-06,0
"PWY-5198",0,6.4577163211203e-06,0
"PWY-5265",0,-1.39470065239455e-05,0
"PWY-5304",0,4.4590723693074e-06,0
"PWY-5345",0,-2.25062988943991e-06,0
"PWY-5347",0,9.14593590302885e-07,0
"PWY-5384",0,2.31847773973427e-06,0
"PWY-5484",0,-1.17475408088339e-06,0
"PWY-5505",0,1.32543233003053e-06,0
"PWY-5509",0,4.0365061500933e-07,0
"PWY-5532",0,-0.000374253953606632,0
"PWY-5659",0,-4.71540162137066e-06,0
"PWY-5667",0,5.30556865212198e-07,0
"PWY-5676",0,-3.72814570829446e-06,0
"PWY-5677",0,7.56336533966772e-06,0
"PWY-5686",0,1.25948606292018e-07,0
"PWY-5695",0,-2.45858402530597e-06,0
"PWY-5705",0,7.94256674759281e-06,0
"PWY-5747",0,1.22587250918301e-06,0
"PWY-5837",0,5.09570197790899e-06,0
"PWY-5838",0,2.84459616437208e-06,0
"PWY-5840",0,3.04997737272886e-06,0
"PWY-5845",0,2.72350693101866e-06,0
"PWY-5850",0,2.72662352700925e-06,0
"PWY-5855",0,-1.00479283571632e-06,0
"PWY-5856",0,-1.00814178940832e-06,0
"PWY-5857",0,-1.00695274593745e-06,0
"PWY-5860",0,3.53010529149252e-06,0
"PWY-5861",0,3.24212642531644e-06,0
"PWY-5862",0,3.54010192101007e-06,0
"PWY-5863",0,4.72013682431145e-06,0
"PWY-5896",0,2.73545130683627e-06,0
"PWY-5897",0,3.21783203600947e-06,0
"PWY-5898",0,3.21415926405559e-06,0
"PWY-5899",0,3.20830451440168e-06,0
"PWY-5910",0,3.86372007052101e-05,0
"PWY-5913",0,-6.03698702122755e-06,0
"PWY-5918",0,1.47941029069241e-05,0
"PWY-5920",0,1.43257140361464e-05,0
"PWY-5971",0,2.62280831334153e-06,0
"PWY-5973",0,5.98812177107896e-07,0
"PWY-5989",0,6.67789314858553e-07,0
"PWY-6121",0,2.12542999555942e-07,0
"PWY-6122",0,2.59908808259026e-07,0
"PWY-6123",0,2.15977370010768e-07,0
"PWY-6125",0,1.51179623692039e-08,0
"PWY-6126",0,-2.38347451916835e-07,0
"PWY-6141",0,5.29579044910523e-06,0
"PWY-6147",0,-3.75813423666761e-07,0
"PWY-6148",0,3.04059406325993e-06,0
"PWY-6151",0,5.37771898167227e-08,0
"PWY-6163",0,3.47296335565033e-07,0
"PWY-6165",0,-2.24005864599783e-05,0
"PWY-6167",0,4.52785964530072e-07,0
"PWY-6174",0,1.19064376501438e-06,0
"PWY-621",0,5.99161742116197e-07,0
"PWY-6263",0,-2.20948915155567e-05,0
"PWY-6269",0,4.28080055645636e-07,0
"PWY-6277",0,2.59094638444934e-07,0
"PWY-6282",0,8.25726993612741e-07,0
"PWY-6317",0,1.90919769046235e-07,0
"PWY-6349",0,4.82676079195762e-06,0
"PWY-6350",0,5.32244505897909e-06,0
"PWY-6353",0,4.90695081014262e-07,0
"PWY-6383",0,0.000527478016999739,0
"PWY-6385",0,1.0333909804059e-07,0
"PWY-6386",0,4.03353261550996e-08,0
"PWY-6387",0,3.5815661763103e-08,0
"PWY-6396",0,0.000101021967961289,0
"PWY-6467",0,-9.99129390630264e-07,0
"PWY-6470",0,2.01196335479534e-05,0
"PWY-6471",0,1.59267326500841e-06,0
"PWY-6478",0,-4.59219976652763e-06,0
"PWY-6507",0,-1.8423477287673e-06,0
"PWY-6519",0,-1.29090543146679e-06,0
"PWY-6545",0,8.49569012695469e-07,0
"PWY-6562",0,-6.80955143140341e-05,0
"PWY-6572",0,7.73003604433257e-06,0
"PWY-6588",0,-1.24993806202751e-06,0
"PWY-6590",0,1.03951461533475e-05,0
"PWY-6608",0,-5.98620968518535e-06,0
"PWY-6609",0,-4.59194853928037e-07,0
"PWY-6612",0,-8.44043160591738e-07,0
"PWY-6628",0,-4.75250540227986e-07,0
"PWY-6629",0,4.62155279772565e-07,0
"PWY-6630",0,-4.51471036604486e-07,0
"PWY-6641",0,0.000265992073936862,0
"PWY-6654",0,2.05397050322523e-06,0
"PWY-6700",0,9.8045786835271e-08,0
"PWY-6703",0,5.03202488880579e-07,0
"PWY-6708",0,-1.08962219740169e-06,0
"PWY-6737",0,2.9015026326538e-07,0
"PWY-6749",0,1.59008068451293e-06,0
"PWY-6876",0,-1.70019304543018e-05,0
"PWY-6891",0,-7.06593088499395e-06,0
"PWY-6892",0,5.59680910241254e-07,0
"PWY-6895",0,-5.01991270873448e-07,0
"PWY-6897",0,4.06649159655244e-08,0
"PWY-6901",0,-3.87632426594709e-06,0
"PWY-6969",0,-8.69783815788411e-07,0
"PWY-7003",0,-3.5287490718969e-06,0
"PWY-7013",0,5.81116660328947e-06,0
"PWY-7090",0,-7.4881804525556e-05,0
"PWY-7094",0,-0.000207020559925053,0
"PWY-7111",0,-5.89655620317171e-08,0
"PWY-7184",0,-6.41463619111797e-08,0
"PWY-7187",0,-1.01409889163655e-06,0
"PWY-7196",0,3.20177802527857e-08,0
"PWY-7197",0,-3.87933066752306e-08,0
"PWY-7198",0,4.29511325659307e-06,0
"PWY-7199",0,-2.11671145437529e-08,0
"PWY-7200",0,-8.22771074766366e-07,0
"PWY-7208",0,3.17548076506596e-07,0
"PWY-7210",0,3.48408084200539e-06,0
"PWY-7211",0,-1.16546321518041e-06,0
"PWY-7219",0,2.55543244965508e-07,0
"PWY-7220",0,-1.16184158610746e-06,0
"PWY-7221",0,3.75718097242051e-07,0
"PWY-7222",0,-1.16123227877745e-06,0
"PWY-7228",0,3.01619554708233e-08,0
"PWY-7229",0,-2.16514601675835e-07,0
"PWY-7234",0,-3.92450855631227e-06,0
"PWY-7237",0,5.78175545773051e-06,0
"PWY-7242",0,-3.51077799069811e-06,0
"PWY-7254",0,3.53660918295491e-06,0
"PWY-7286",0,5.29425201189552e-06,0
"PWY-7315",0,-2.56246324989982e-06,0
"PWY-7323",0,-8.68317739267926e-07,0
"PWY-7328",0,-1.68453395787078e-06,0
"PWY-7332",0,-1.00261821093812e-05,0
"PWY-7371",0,-2.75870471064823e-05,0
"PWY-7374",0,-6.98268396079137e-05,0
"PWY-7377",0,1.07305130656352e-06,0
"PWY-7391",0,1.79004642384505e-05,0
"PWY-7392",0,3.25256467411851e-06,0
"PWY-7400",0,6.27229252076694e-07,0
"PWY-7431",0,0.000226024528079185,0
"PWY-7446",0,3.03983383601071e-07,0
"PWY-7456",0,-7.19645145498327e-06,0
"PWY-7539",0,-3.25093265846903e-07,0
"PWY-7560",0,1.28870456618314e-07,0
"PWY-7663",0,5.35687734072371e-07,0
"PWY-7664",0,8.1192714329384e-07,0
"PWY-841",0,-7.1944642587662e-09,0
"PWY-922",0,5.23807494773746e-05,0
"PWY0-1061",0,-3.34576680190955e-07,0
"PWY0-1241",0,4.46465721425771e-06,0
"PWY0-1261",0,2.18518811140207e-06,0
"PWY0-1296",0,4.57883192561224e-07,0
"PWY0-1297",0,-7.18986001333617e-07,0
"PWY0-1298",0,-7.3335260851362e-07,0
"PWY0-1319",0,5.4747088130571e-07,0
"PWY0-1338",0,8.93810972972031e-07,0
"PWY0-1415",0,1.04113103228828e-05,0
"PWY0-1479",0,5.88650870386301e-08,0
"PWY0-1533",0,4.60401588118979e-07,0
"PWY0-1586",0,1.38521063334176e-06,0
"PWY0-162",0,1.68786820598495e-07,0
"PWY0-166",0,-4.28261612132175e-07,0
"PWY0-41",0,-6.75715227214736e-06,0
"PWY0-42",0,1.85385277084804e-07,0
"PWY0-781",0,-1.82145694979506e-06,0
"PWY0-845",0,4.49557584964966e-06,0
"PWY0-862",0,6.84390949552923e-07,0
"PWY1G-0",0,-0.00604723834057027,0
"PWY490-3",0,-7.36041170316796e-07,0
"PWY4FS-7",0,2.47600842933657e-07,0
"PWY4FS-8",0,2.48115741556164e-07,0
"PWYG-321",0,1.05116896571786e-06,0
"PYRIDNUCSAL-PWY",0,-5.45815685039156e-09,0
"PYRIDNUCSYN-PWY",0,6.96687840765015e-07,0
"PYRIDOXSYN-PWY",0,4.62850017570824e-06,0
"REDCITCYC",0,2.41290132369911e-06,0
"RHAMCAT-PWY",0,-4.6524103708588e-06,0
"RIBOSYN2-PWY",0,-5.11115397387022e-07,0
"RUMP-PWY",0,-3.20246626078261e-06,0
