"Variable","RF_Importance","Lasso_Importance","Ridge_Importance","Enet_Importance","XGBoost_Importance"
"1CMET2-PWY",44.8855039504883,NA,0.00456798147638055,NA,0
"ALL-CHORISMATE-PWY",25.9876271004524,NA,0.0383966565156001,NA,0
"ANAEROFRUCAT-PWY",60.8131663184544,NA,0.0129757166717225,NA,42.7159273313409
"ANAGLYCOLYSIS-PWY",50.8801841783586,NA,0.00122963303212276,NA,0
"ARG+POLYAMINE-SYN",38.1666529132687,NA,0.0228438104964714,NA,3.77516412572618
"ARGORNPROST-PWY",49.8730781138514,NA,0.0474069227970035,NA,0
"ARGSYN-PWY",46.2027317289784,NA,0.0105448065268853,NA,0
"ARGSYNBSUB-PWY",38.0568605518829,NA,0.00901960901072739,NA,0
"ARO-PWY",59.8357210851102,NA,0.00554382795805032,NA,0
"ASPASN-PWY",48.4195739295505,NA,0.00853229490637381,NA,0
"AST-PWY",21.1109575440821,NA,0.0110782797782491,NA,0
"BIOTIN-BIOSYNTHESIS-PWY",44.7373948733572,NA,0.0166915055699233,NA,0
"BRANCHED-CHAIN-AA-SYN-PWY",51.0815992774327,NA,0.00141530808159552,NA,0
"CALVIN-PWY",57.6474571230574,NA,0.0004529977636861,NA,0
"CENTFERM-PWY",48.0165659206212,NA,0.208029531419222,NA,0
"COA-PWY",52.9508648097756,NA,0.00215667231579282,NA,0
"COBALSYN-PWY",67.9841487385646,NA,0.0105157339077022,NA,0
"CODH-PWY",43.683141853659,NA,0.191935584930579,NA,5.62648762550791
"COLANSYN-PWY",56.9251234412078,NA,0.0287340016310754,NA,5.79174628093623
"COMPLETE-ARO-PWY",51.695006032741,NA,0.00499404157476863,NA,0
"DAPLYSINESYN-PWY",43.982230002724,NA,0.00132230552232647,NA,1.38578045770509
"DENOVOPURINE2-PWY",61.3016449060332,NA,0.002229009234914,NA,0
"DTDPRHAMSYN-PWY",47.1098009365447,NA,0.00160785276462059,NA,0
"ECASYN-PWY",21.6768868636549,NA,0.0114966404962747,NA,0
"ENTBACSYN-PWY",30.8688962042556,NA,0.00588716788474949,NA,0
"FAO-PWY",42.8419123365283,NA,0.0398849540674055,NA,7.86596762819436
"FASYN-ELONG-PWY",48.6738740332379,NA,0.0131042287402388,NA,0
"FASYN-INITIAL-PWY",46.6352224685894,NA,0.0183579705475464,NA,2.32104713052822
"FERMENTATION-PWY",55.1690331123293,NA,0.020017922867076,NA,0
"FOLSYN-PWY",40.2133920165163,NA,0.00959379234445552,NA,0
"FUC-RHAMCAT-PWY",64.4146827195396,NA,0.0195917856266278,NA,11.9969559085261
"FUCCAT-PWY",45.3194105360237,NA,0.0553673857955295,NA,0
"GALACT-GLUCUROCAT-PWY",44.6851921553013,NA,0.0561901381508172,NA,17.4158719231673
"GALACTARDEG-PWY",29.1482791122886,NA,0.031063431095239,NA,0
"GALACTUROCAT-PWY",52.9346076914611,NA,0.0447988357320355,NA,2.25219638839451
"GLCMANNANAUT-PWY",45.5534505435148,NA,0.0322055282116174,NA,0
"GLUCARDEG-PWY",39.4134396897247,NA,0.0414750158076402,NA,7.53929950636354
"GLUCARGALACTSUPER-PWY",33.5155639904177,NA,0.0309851027589734,NA,0
"GLUCONEO-PWY",68.4514832851002,NA,0.00329769730252098,NA,0
"GLUCOSE1PMETAB-PWY",25.9883793346292,NA,0.0172437019664862,NA,0
"GLUCUROCAT-PWY",51.2501656124443,NA,0.0643249367169422,NA,9.09309244769804
"GLUTORN-PWY",32.1992153511692,NA,0.0106060148940023,NA,0
"GLYCOCAT-PWY",49.7510181554812,NA,0.0018618909164684,NA,0
"GLYCOGENSYNTH-PWY",61.3521797968074,NA,0.00974357472431957,NA,0
"GLYCOL-GLYOXDEG-PWY",41.955865267303,NA,0.0185281654827781,NA,1.48951473773464
"GLYCOLYSIS",64.6406190133941,NA,0.0111686451702364,NA,10.1320695792337
"GLYCOLYSIS-E-D",33.9442792296371,NA,0.0443813495902179,NA,0
"GLYCOLYSIS-TCA-GLYOX-BYPASS",29.1409078588187,NA,0.00525120724028161,NA,0
"GLYOXYLATE-BYPASS",28.823370171536,NA,0.0181878640360748,NA,0
