"Model","DataType","R2","MAE","RMSE"
"lasso_model","Train",NA,0.7944140090113,0.998108950866026
"lasso_model","Test",NA,0.752943599970574,0.993268709873004
"ridge_model","Train",0.415427184054654,0.650183978858928,0.823369101528865
"ridge_model","Test",0.0647589614635563,0.741528972510863,0.965843978873434
"elastic_net_model","Train",NA,0.7944140090113,0.998108950866026
"elastic_net_model","Test",NA,0.752943599970574,0.993268709873004
"rf_model","Train",0.952292769930801,0.334177949211542,0.43031244474918
"rf_model","Test",0.0403296556997137,0.737232916906166,0.97759218687646
"xgb_model","Train",0.989306796768651,0.0923485155691084,0.112684492755413
"xgb_model","Test",0.00103223788239862,0.975155439644159,1.24076719184225
