"Variable","Lasso_Beta","Ridge_Beta","Enet_Beta"
"(Intercept)",-0.0003194112324573,0.393429501591988,0.249276604426926
"cohort_number",0,-0.0130641302990343,0
"age",0,-0.0100526375916571,0
"sex",0,-0.00438590356643036,0
"race",0,0.0116322784508276,0.0313485254393979
"ethnicity",0,-0.00231455443932432,0
"education",0,-0.000309752669184741,0
"rmr_kcald_BL",0.170298146017392,0.0261190672357289,0.138614503177836
"spk_EE_int_kcal_day_BL",0.00259686749809076,0.021389622055525,0.0846717464914994
"avg_systolic_BL",0,0.00886557995218127,0
"avg_diastolic_BL",0,0.00633036455126165,0
"C_Reactive_Protein_BL",0,0.00868699969130796,0
"Cholesterol_lipid_BL",0,-0.00244707143336397,0
"Ghrelin_BL",0,-0.00482588403752437,0
"Glucose_BL",0,-0.0062963287814363,0
"HDL_Total_Direct_lipid_BL",0,0.00176240327949455,0
"Hemoglobin_A1C_BL",0,0.00298664007204953,0
"Insulin_endo_BL",0,0.018586257451948,0.0120954255535857
"LDL_Calculated_BL",0,-0.00440645074632605,0
"Leptin_BL",0.224180582243405,0.036089937161225,0.256038923139155
"Peptide_YY_BL",0,-0.00282548975723823,0
"Triglyceride_lipid_BL",0,0.000340406148977037,0
"HOMA_IR_BL",0,0.0156872429583041,0
"s__Methanobrevibacter_A smithii_A_1174",0,7.55306973130565e-06,0
"s__Methanosphaera stadtmanae",0,-0.00903496419438338,0
"s__Methanomassiliicoccus_A_1637 intestinalis",0,0.0051999559805434,0
"s__UBA71 sp002506425",0,-0.00903466370149488,0
"s__Actinomyces graevenitzii",0,0.00301224696424378,0
"s__Actinomyces johnsonii",0,0.00523158008847819,0
"s__Actinomyces urogenitalis",0,0.0052588019611279,0
"s__Actinomyces viscosus",0,-0.00371924156477926,0
"s__Actinotignum schaalii_A_386418",0,0.00527747233668936,0
"s__Gleimia europaea_A",0,0.00528562963631517,0
"s__Mobiluncus curtisii",0,0.00528675612914804,0
"g__Pauljensenia",0,-0.00368993153622678,0
"s__Pauljensenia hongkongensis",0,0.0052831446242238,0
"s__Pauljensenia sp000308055",0,-0.0028867202037948,0
"s__Pauljensenia turicensis",0,-0.0034532124752105,0
"s__Schaalia odontolytica",0,0.00714886975569547,0
"s__Peptidiphaga gingivicola",0,0.00527601162292003,0
"s__Peptidiphaga sp000466165",0,-0.0238479531112815,0
"s__Varibaculum anthropi",0,-0.00625084146018315,0
"s__Varibaculum timonense_A",0,0.0100055103538862,0
"s__Winkia neuii",0,0.0052764204866327,0
"s__Alloscardovia omnicolens",0,-0.00421915759607061,0
"g__Bifidobacterium_388775",0,0.00263312276843192,0
"s__Bifidobacterium adolescentis",0,-0.00193909420142794,0
"s__Bifidobacterium animalis",0,-0.00578125269645991,0
"s__Bifidobacterium bifidum",0,-0.00127266460776751,0
"s__Bifidobacterium leopoldii",0,-0.00480135127249185,0
"s__Bifidobacterium longum",0,4.300788774054e-05,0
"s__Bifidobacterium merycicum",0,-0.00431623532226027,0
"s__Bifidobacterium moukalabense",0,0.0106325978891243,0
"s__Bifidobacterium pseudocatenulatum",0,-0.00181404267113909,0
"s__Bifidobacterium pseudolongum",0,0.00524956891498702,0
"s__Bifidobacterium ramosum",0,0.0280595113277041,0.0367545146680499
"s__Bifidobacterium vaginale",0,-0.00339180633785083,0
"s__Scardovia wiggsiae",0,0.0429516748542223,0
"g__Arthrobacter_I_385749",0,0.00213908969856334,0
"g__Kocuria",0,0.00524361828197966,0
"s__Rothia dentocariosa",0,-0.0351410239508819,-0.0106161739624791
"s__Rothia kristinae",0,0.00523991646683808,0
"s__Rothia sp001808955",0,-0.0059133193628365,0
"g__Specibacter",0,-0.0336875491599251,0
"s__Corynebacterium argentoratense",0,-0.00835220583682172,0
"s__Corynebacterium aurimucosum",0,0.0222224731972951,0
"s__Corynebacterium choanae",0,0.00525079767233481,0
"s__Corynebacterium durum",0,-0.0055368696588736,0
"s__Corynebacterium kroppenstedtii",0,0.00522560229224634,0
"s__Corynebacterium lowii",0,0.00520419407589382,0
"s__Corynebacterium propinquum",0,0.0427324717910774,0
"s__Corynebacterium simulans",0,0.00517901879805067,0
"s__Corynebacterium sp001767255",0,-0.00991281202052962,0
"s__Corynebacterium tuberculostearicum",0,0.0256523913752284,0
"g__Lawsonella",0,0.0485926848219515,0.0842938543002398
"s__Atopobium deltae",0,0.00517401251763908,0
"s__Atopobium minutum",0,0.0051767724420426,0
"s__Fannyhessea vaginae",0,0.0240323605219083,0
"s__Lancefieldella parvula",0,-0.0331022335463244,0
"s__Lancefieldella rimae",0,0.00518443896427341,0
"s__Lancefieldella sp000564995",0,0.027838855850978,0
"g__NM07-P-09",0,0.00324986070939038,0
"s__Olegusella massiliensis",0,0.0051928855893663,0
"s__Parolsenella catena",0,0.0139266748906353,0
"s__Thermophilibacter avicola",0,-0.0345007320139444,0
"g__UBA1367",0,-0.0130317579947538,0
"s__Collinsella intestinalis",0,-0.0113818067655705,0
"s__Collinsella sp000434535",0,0.00543607079580782,0.0213564254983797
"s__Collinsella tanakaei",0,-0.0177895476558472,0
"g__Adlercreutzia_404199",0,-0.0152091231637637,0
