"Model","DataType","R2","MAE","RMSE"
"lasso_model","Train",0.495475447353743,0.651387632566857,0.808486611773188
"lasso_model","Test",0.284550609708988,0.683302023872288,0.868507374159589
"ridge_model","Train",0.946812447303873,0.313743945741756,0.398945698336656
"ridge_model","Test",0.205079222736411,0.706559724350179,0.895319612110773
"elastic_net_model","Train",0.880411739280595,0.400886398613259,0.480025004211817
"elastic_net_model","Test",0.183038238844117,0.731660554664,0.89746632340919
"rf_model","Train",0.952863248757486,0.326800791558125,0.411968331164307
"rf_model","Test",0.0516364658454683,0.739245881693259,0.966822099624081
"xgb_model","Train",0.986230593140594,0.108390667728488,0.135326538054359
"xgb_model","Test",0.1265229308168,0.758492443951082,0.958061811981827
