"Variable","Lasso_Beta","Ridge_Beta","Enet_Beta"
"(Intercept)",0.0135260386182645,0.394198375704626,0.0395096204267385
"s__Methanobrevibacter_A smithii_A_1174",0,0.000106051983446749,0
"s__Methanosphaera stadtmanae",0,-0.0102283068332045,0
"s__Methanomassiliicoccus_A_1637 intestinalis",0,0.00596404855670932,0
"s__UBA71 sp002506425",0,-0.00916121787890303,0
"s__Actinomyces graevenitzii",0,0.00480698593301327,0
"s__Actinomyces johnsonii",0,0.00596034830026845,0
"s__Actinomyces urogenitalis",0,0.00597269992425597,0
"s__Actinomyces viscosus",0,-0.000958270141169135,0
"s__Actinotignum schaalii_A_386418",0,0.00598284267096218,0
"s__Gleimia europaea_A",0,0.00599302198483496,0
"s__Mobiluncus curtisii",0,0.00600090662057175,0
"g__Pauljensenia",0,-0.00401781142302058,0
"s__Pauljensenia hongkongensis",0,0.00600945656486648,0
"s__Pauljensenia sp000308055",0,-0.00547795345121365,0
"s__Pauljensenia turicensis",0,-0.00381975129332513,0
"s__Schaalia odontolytica",0,0.00750719571537477,0
"s__Peptidiphaga gingivicola",0,0.00601334286058067,0
"s__Peptidiphaga sp000466165",0,-0.0246278326324794,0
"s__Varibaculum anthropi",0,-0.00713363153468306,0
"s__Varibaculum timonense_A",0,0.0088581928494002,0
"s__Winkia neuii",0,0.00602123171877722,0
"s__Alloscardovia omnicolens",0,-0.00536389135986862,0
"g__Bifidobacterium_388775",0,0.00301002562740915,0
"s__Bifidobacterium adolescentis",0,-0.00224689571956878,0
"s__Bifidobacterium animalis",0,-0.00648033579436832,0
"s__Bifidobacterium bifidum",0,-0.000436712933683623,0
"s__Bifidobacterium leopoldii",0,-0.00530821448893495,0
"s__Bifidobacterium longum",0,-7.66539869749303e-05,0
"s__Bifidobacterium merycicum",0,-0.00500524492082933,0
"s__Bifidobacterium moukalabense",0,0.0116756170800294,0
"s__Bifidobacterium pseudocatenulatum",0,-0.00176573497982966,0
"s__Bifidobacterium pseudolongum",0,0.00601407709742795,0
