"Variable","RF_Importance","Lasso_Importance","Ridge_Importance","Enet_Importance","XGBoost_Importance"
"s__Methanobrevibacter_A smithii_A_1174",26.7676893002658,0,0.0687863710511362,0,0
"s__Methanosphaera stadtmanae",7.8810526078648,0,8.84440375636822,0,0
"s__Methanomassiliicoccus_A_1637 intestinalis",2.21928451343245,0,5.14745089140562,0,0
"s__UBA71 sp002506425",2.82046973615381,0,7.91927743638902,0,0
"s__Actinomyces graevenitzii",9.91597491342891,0,4.14432075616203,0,0
"s__Actinomyces johnsonii",0.523695360727526,0,5.14424290709436,0,0
"s__Actinomyces urogenitalis",2.92756505279401,0,5.1549513043646,0,0
"s__Actinomyces viscosus",3.85196142524417,0,0.807627725274739,0,0
"s__Actinotignum schaalii_A_386418",3.00057189946495,0,5.16374468742509,0,0
"s__Gleimia europaea_A",1.39021523893771,0,5.17256977285502,0,0
"s__Mobiluncus curtisii",1.24891805730722,0,5.17940545793464,0,0
"g__Pauljensenia",5.96963471581425,0,3.46013589293398,0,0
"s__Pauljensenia hongkongensis",1.40253664846524,0,5.18681794071738,0,0
"s__Pauljensenia sp000308055",10.1064504156222,0,4.72602456673574,0,0
"s__Pauljensenia turicensis",3.43146265516602,0,3.28842514831317,0,0
"s__Schaalia odontolytica",42.9577012729464,0,6.48530191715916,0,0
"s__Peptidiphaga gingivicola",1.3084958780362,0,5.19018721413918,0,0
"s__Peptidiphaga sp000466165",23.899262579796,0,21.3282555087732,0,0
"s__Varibaculum anthropi",3.39364826457081,0,6.16143570678723,0,0
"s__Varibaculum timonense_A",6.74204255341447,0,7.65656603892259,0,0
"s__Winkia neuii",2.45647606876838,0,5.19702655993391,0,0
"s__Alloscardovia omnicolens",8.23975762404567,0,4.62713698816059,0,0
"g__Bifidobacterium_388775",2.52149851637676,0,2.58642319947666,0,0
"s__Bifidobacterium adolescentis",24.6586676338676,0,1.92481803482704,0,0
"s__Bifidobacterium animalis",13.1887931917411,0,5.5950526684668,0,0
"s__Bifidobacterium bifidum",26.2301086111184,0,0.355457080948706,0,0
"s__Bifidobacterium leopoldii",1.66696233477306,0,4.57886721785963,0,0
"s__Bifidobacterium longum",27.2287067788503,0,0.043299404682397,0,0
"s__Bifidobacterium merycicum",7.44822178700401,0,4.31620390335582,0,0
"s__Bifidobacterium moukalabense",3.53531415810755,0,10.099167754361,0,0
"s__Bifidobacterium pseudocatenulatum",28.080378772557,0,1.5076696212117,0,0
"s__Bifidobacterium pseudolongum",1.77246019428774,0,5.19082377009806,0,0
"s__Bifidobacterium ramosum",8.32465646175319,0,25.567075527698,0,0
"s__Bifidobacterium vaginale",0.43776600639959,0,3.18983560386487,0,0
"s__Scardovia wiggsiae",3.36464942225494,0,45.3291564418772,0,0
"g__Arthrobacter_I_385749",2.97084785747234,0,0.311188706151954,0,0
"g__Kocuria",0.227544029717246,0,5.19155914892702,0,0
"s__Rothia dentocariosa",5.20855204092899,0,36.7983340354131,0,0
"s__Rothia kristinae",1.51268502676982,0,5.1982760587383,0,0
"s__Rothia sp001808955",33.6338567229332,0,4.72340294352259,0,0
"g__Specibacter",8.26862820553855,0,33.7846847419382,0,0
"s__Corynebacterium argentoratense",2.59391873720205,0,8.48919192036629,0,0
"s__Corynebacterium aurimucosum",4.87453541875689,0,20.9289651510123,0,0
"s__Corynebacterium choanae",1.46620748476861,0,5.20386272476652,0,0
"s__Corynebacterium durum",3.61929108669418,0,7.25047806520474,0,0
"s__Corynebacterium kroppenstedtii",2.29587938989591,0,5.17661228160663,0,0
"s__Corynebacterium lowii",2.32274727107213,0,5.1516318948432,0,0
"s__Corynebacterium propinquum",7.32303840416297,0,36.9258755676018,0,0
"s__Corynebacterium simulans",2.50304906174514,0,5.12988156868512,0,0
"s__Corynebacterium sp001767255",1.82407885068697,0,10.0796521140192,0,0
"s__Corynebacterium tuberculostearicum",4.38762422112785,0,27.0719739590909,0,0
"g__Lawsonella",35.2540902652887,0,44.3111613966468,25.3506444767532,0
"s__Atopobium deltae",2.03203749808341,0,5.12407835055706,0,0
"s__Atopobium minutum",2.22053536461883,0,5.12818304447928,0,0
"s__Fannyhessea vaginae",5.29257136927777,0,24.6731600143095,0,0
"s__Lancefieldella parvula",3.44209466156993,0,40.5436784955812,0,0
"s__Lancefieldella rimae",1.87157892222619,0,5.13991962989878,0,0
"s__Lancefieldella sp000564995",34.5114712209382,0,27.3209524534942,0,0
"g__NM07-P-09",6.07581540326201,0,3.02885797585812,0,0
"s__Olegusella massiliensis",3.23182132785235,0,5.14872546080926,0,0
"s__Parolsenella catena",11.6008378088611,0,13.4890389864847,0,0
