"Model","DataType","R2","MAE","RMSE"
"lasso_model","Train",0.166912262742614,0.775701626829032,0.972974529448161
"lasso_model","Test",0.0305089256553224,0.748128382414058,0.983564734176678
"ridge_model","Train",0.950633197723298,0.307793726817909,0.389392373426191
"ridge_model","Test",0.118455566379197,0.734026631090419,0.932338407956364
"elastic_net_model","Train",0.595946645360815,0.674824096754036,0.822190222893013
"elastic_net_model","Test",0.0104564792138056,0.752620885195181,0.989209694423893
"rf_model","Train",0.950408024248423,0.331074124056645,0.41561283107132
"rf_model","Test",0.0255819489470415,0.752637318600513,0.98540767291993
"xgb_model","Train",0.933301417223544,0.295545684450099,0.367455786824963
"xgb_model","Test",0.0771917587205449,0.811652869432116,0.981342689324986
