"Variable","Lasso_Beta","Ridge_Beta","Enet_Beta"
"(Intercept)",0.0191643322173195,-0.105873628145411,-0.0689148845232193
"cohort_number",0,-0.017700145275266,0
"age",0,-0.0127984354602369,0
"sex",0,-0.0074604830234706,0
"race",0,0.0222833179044689,0.0223424882688125
"ethnicity",0,-0.00553397214713305,0
"education",0,0.00191250993601879,0
"rmr_kcald_BL",0.179508098731107,0.0431777661162729,0.180734739730133
"spk_EE_int_kcal_day_BL",0.0041977895244667,0.0396221054773211,0.124588419299587
"avg_systolic_BL",0,0.015150311228623,0
"avg_diastolic_BL",0,0.0055932869108664,0
"C_Reactive_Protein_BL",0,0.0102835123444028,0
"Cholesterol_lipid_BL",0,-0.00814765963492002,0
"Ghrelin_BL",0,-0.0109263845011171,0
"Glucose_BL",0,-0.00729072628088127,0
"HDL_Total_Direct_lipid_BL",0,0.00254344757306221,0
"Hemoglobin_A1C_BL",0,-0.00334164569560961,0
"Insulin_endo_BL",0,0.0311818254226371,0
"LDL_Calculated_BL",0,-0.0129849616605934,0
"Leptin_BL",0.234724328218771,0.060338558543136,0.338687140803172
"Peptide_YY_BL",0,0.00479588192910858,0
"Triglyceride_lipid_BL",0,0.00159347601978412,0
"HOMA_IR_BL",0,0.0263828679228598,0
"s__Methanobrevibacter_A smithii_A_1174",0,-0.00041894173121804,0
"s__Schaalia odontolytica",0,0.00869782418392589,0
"s__Bifidobacterium adolescentis",0,-0.00289038357619162,0
"s__Bifidobacterium longum",0,0.00163162397078272,0
"s__Bifidobacterium pseudocatenulatum",0,-0.0038265584771723,0
"s__Collinsella sp000434535",0,0.0093705647949308,0.0115714844510093
"s__Adlercreutzia equolifaciens",0,-0.00413964971767064,0
"s__CAG-1427 sp000435675",0,-0.00385226053565916,0
"s__Eggerthella lenta",0,0.0103627515015385,0.014820726032676
"s__Gordonibacter pamelaeae",0,0.0119705481025647,0
"s__Bacteroides_H caccae",0,0.00148727301719291,0
"s__Bacteroides_H cellulosilyticus",0,0.00063981960441027,0
"s__Bacteroides_H fragilis",0,0.0056891157646957,0
"s__Bacteroides_H ovatus",0,-0.000375852233944295,0
"s__Bacteroides_H stercoris",0,-0.0038769264160922,-0.00169996339740408
"s__Bacteroides_H thetaiotaomicron",0,-0.00534173209774489,0
"s__Bacteroides_H uniformis",0,-0.00128771922519871,0
"s__Bacteroides_H xylanisolvens",0,-0.0030625527164122,0
"s__Phocaeicola_A_858004 dorei",0,-0.00243890612507173,0
"s__Phocaeicola_A_858004 massiliensis",0,-0.00926561630153763,-0.0268489601128565
"s__Phocaeicola_A_858004 vulgatus",0,0.000107949647275568,0
"s__Prevotella copri",0,-0.00120549763353629,0
"s__Barnesiella intestinihominis",0,-0.000951796688017291,0
"s__Odoribacter splanchnicus",0,-0.00420416735595094,0
"s__Paramuribaculum sp900551515",0,-0.00193683317882297,0
"s__Alistipes_A_871400 communis",-0.031979829861502,-0.0171572563172542,-0.0197026096288649
"s__Alistipes_A_871400 finegoldii",0,0.0071417291186583,0
"s__Alistipes_A_871400 onderdonkii",0,0.000929490527474916,0
"s__Alistipes_A_871400 shahii",0,0.00910021487235453,0
"s__Alistipes_A_871404 ihumii",0,-0.0122508353430195,-0.0254023402452509
"s__Alistipes_A_871404 indistinctus",0,-0.0022042253474235,0
"s__Coprenecus sp900544175",0,0.000664190002847123,0
"o__Christensenellales",0,0.00243914607488432,0
"f__CAG-138",0,-0.00650969732135306,0
"f__CAG-74",0,-0.00162038629478663,0
"s__Limiplasma merdipullorum",0,-0.00489793077636043,0
"g__Onthenecus",0,-0.00362639309636479,0
"g__SFMI01",0,0.000715605263745546,0
"g__Clostridium_T",0,0.00873190746725788,0.00150047186429685
"s__Clostridium_T saudiense",0,0.00202916370828096,0
"s__Anaerofustis stercorihominis",0,-0.00245191029383217,0
"o__Lachnospirales",0,0.00783902461906132,0
"f__Anaerotignaceae",0,0.00712221230570183,0
"s__Anaerotignum lactatifermentans",0,0.00499027293717388,0
"s__Anaerotignum sp004557645",0,-0.000438799674617709,0
"s__CAG-274 sp900545305",0,0.0105055861164806,0
"f__Lachnospiraceae",0,0.000746949675106778,0
"s__Acetatifactor sp900066565",0,-0.000284360095562802,0
"s__Agathobacter faecis",0,-0.00873155067389113,-0.0149550603526402
"s__Agathobacter rectalis",0,0.00705463271950003,0.00112715694941103
"s__Anaerobutyricum soehngenii",0,-0.000770396642899286,0
"s__Anaerostipes hadrus",0,0.0015903945572265,0
"g__Bariatricus",0,0.00152266646266907,0
"s__Blautia_A_141780 hansenii",0,-0.00295857421125517,0
"s__Blautia_A_141780 stercoris",0,0.00851125720966575,0
"g__Blautia_A_141781",0,0.00117282192005995,0
"s__Blautia_A_141781 caecimuris",0,0.00130905625975026,0
"s__Blautia_A_141781 faecis",0,-0.00181723154093998,0
"s__Blautia_A_141781 hydrogenotrophica",0,-0.0109896814501654,-0.0112596696460242
"s__Blautia_A_141781 massiliensis",0,-0.00143582226345589,0
"s__Blautia_A_141781 sp900066505",0,0.0110431381049675,0.0473552275224832
"s__Butyribacter intestini",0,0.00271452657634404,0
"s__Butyribacter sp003529475",0,-0.000468074931170824,0
"s__CAG-127 sp900319515",0,0.00745841592953982,0
"s__CAG-317 sp000433215",0,-0.00409688131309228,0
"s__Catenibacillus scindens",0,-0.000221072005941707,0
"g__Clostridium_AP",0,-0.00444669642082292,0
"s__Clostridium_Q_134516 symbiosum",0,-0.0037573833369173,0
"s__Clostridium_Q_135822 fessum",0,0.00312165204070665,0
"s__Clostridium_Q_135853 saccharolyticum_A",0,0.00266394159065043,0
"s__Coprococcus_A_121497 eutactus",0,0.00192209802711468,0
"s__Coprococcus_A_187866 catus",0,1.95709050132383e-05,0
"s__Copromonas sp000435795",0,0.00240798850871321,0
"s__Copromonas sp900066535",0,-0.000994182661803431,0
"g__Dorea_A",0,-0.000927724721359898,0
"s__Dorea_A formicigenerans",0,0.00765396680993055,0
"s__Dorea_A longicatena",0.00343036174731278,0.00818563827849844,0.0270733961741144
"g__Eisenbergiella",0,0.00264385871516807,0
"s__Eisenbergiella porci",0,0.00523612218429559,0
"g__Enterocloster",0,0.00124120959395541,0
"s__Enterocloster clostridioformis",0,-0.00430586297488603,0
"s__Enterocloster sp000431375",0,-0.000871561652106844,0
"s__Eubacterium_F sp000687695",0,0.0028315793451542,0
"s__Eubacterium_G ventriosum",0,-0.010157715560087,0
"s__Eubacterium_I ramulus",0,0.00862326746442625,0
"s__Eubacterium_J plexicaudatum",0,-0.00435087870928782,0
"s__Frisingicoccus caecimuris",0,-0.0017093021942255,0
"s__Lachnoclostridium_B sp900066555",0,0.00405785171716274,0
"g__Lachnospira",0,-0.0101209721222074,0
"s__Lachnospira eligens",0,-0.00155473493801552,0
"s__Lachnospira sp000436535",0,-0.00224312993495647,0
"s__Lachnospira sp000437735",0,-0.0105223937616264,-0.00656292489984672
"g__Limivivens",0,0.00192809933261082,0
"s__Limivivens sp900066135",0,-0.00800314989260107,-0.0051689704111569
"s__Marvinbryantia sp900066075",0,-0.00666286493637058,0
"s__Mediterraneibacter_A_155507 faecis",0,0.00105953768188477,0
"s__Mediterraneibacter_A_155507 lactaris",0,0.000439266271815818,0
"s__Mediterraneibacter_A_155507 massiliensis",0,0.000250592522894002,0
"s__Mediterraneibacter_A_155507 torques",0,0.00203223507868901,0
"s__Mediterraneibacter_A_155590 butyricigenes",0,-0.00144200182909993,0
"g__Merdisoma",0,-0.0111709408591639,0
"g__Muricomes_149725",0,-0.00139064239571549,0
"g__Oliverpabstia",0,-0.00257260178215156,0
"g__Porcincola",0,0.00070290721309684,0
"s__Roseburia hominis",0,-0.00184721464119683,0
"s__Roseburia intestinalis",0,0.00609028749683864,0
"s__Roseburia inulinivorans",0,0.00643331855295923,0
"s__RUG115 sp900066395",0,0.00210201382897709,0
"s__Mediterraneibacter gnavus",0,-0.0039109379762722,0
"s__Scatomonas sp003481995",0,-0.0118347177533874,0
"s__Mediterraneibacter glycyrrhizinilyticus",0,-0.00119162080823936,0
"s__Sellimonas intestinalis",0,-0.0007338150070264,0
"s__UMGS1375 sp900066615",0,0.00467963204902987,0
"g__Ventrimonas",0,0.00345782353102587,0
"s__Ventrimonas sp003481825",0,-0.0115583873834177,0
"s__Ventrimonas sp003611875",0,-0.00503256960793476,0
"s__Monoglobus pectinilyticus",0,0.00100064450415785,0
"f__Acutalibacteraceae",0,0.00230684401311922,0
"g__Acutalibacter",0,0.00379822770064096,0
"s__Acutalibacter timonensis",0,-0.00276064023038607,0
"s__Anaeromassilibacillus sp001305115",0,0.00607896595507733,0
"s__Clostridium_A leptum",0,0.000411119128189829,0
"s__Eubacterium_R sp000436835",0,0.00326430101498114,0
"s__Ruminococcus_E bromii_B",0,-0.00140332351772308,0
"s__UBA1417 sp003531055",0,-0.00739468102438461,0
"s__UMGS1071 sp900548305",0,0.0174099637910501,0.0475224971749599
"s__Agathobaculum butyriciproducens",0,-6.86064137951155e-05,0
"s__Agathobaculum sp900291975",0,-0.00843220221511157,0
"g__RUG13077",0,-0.00740598993462604,0
"f__Oscillospiraceae_88309",0,0.00102342033358748,0
"s__CAG-83 sp900545585",0,0.00241427914800402,0
"s__Dysosmobacter sp000403435",0,0.000168602064474319,0
"s__Dysosmobacter welbionis",0,0.00411613768586055,0
"s__ER4 sp000765235",0,0.00207156457250444,0
"s__ER4 sp900317525",0,0.00678873828039355,0
"s__Evtepia gabavorous",0,0.00245984562254601,0
"s__Faecousia sp000434635",0,0.000501071755353573,0
"g__Lawsonibacter",0,0.00564590937811421,0
"s__Lawsonibacter asaccharolyticus",0,0.000753029916806814,0
"s__Lawsonibacter sp000177015",0,-0.00309343603010612,0
"s__Limivicinus sp002320035",0,-0.000190940169707051,0
"g__Onthomonas",0,-0.0101755566807546,0
