"Variable","RF_Importance","Lasso_Importance","Ridge_Importance","Enet_Importance","XGBoost_Importance"
"cohort_number",30.5066100485304,0,29.3117889781664,0,0
"age",50.1930433372936,0,21.1854758436747,0,0
"sex",0,0,12.3359366756921,0,0
"race",9.16393212201496,0,36.9100143606929,6.59679260801839,0
"ethnicity",0.539629968693017,0,9.14206530653809,0,0
"education",16.701700382007,0,3.13821419278791,0,0
"rmr_kcald_BL",80.0255006015933,76.476136961738,71.5499329501062,53.3633309199557,13.2856227329686
"spk_EE_int_kcal_day_BL",70.8819294579093,1.78839132539948,65.6551711542292,36.7856952006312,57.2653815125729
"avg_systolic_BL",49.2240176155087,0,25.0845395721577,0,0
"avg_diastolic_BL",51.4641458278173,0,9.24040045116816,0,0
"C_Reactive_Protein_BL",45.7936414331968,0,17.016103620583,0,0
"Cholesterol_lipid_BL",39.2581755029476,0,13.4751743160386,0,0
"Ghrelin_BL",35.1936522485848,0,18.0818909984665,0,0
"Glucose_BL",39.5291115121282,0,12.0545049918453,0,0
"HDL_Total_Direct_lipid_BL",33.429756891864,0,4.18421589432286,0,0
"Hemoglobin_A1C_BL",31.1903779922123,0,5.50751085301166,0,0
"Insulin_endo_BL",59.9406229643518,0,51.662429589466,0,58.6590158923409
"LDL_Calculated_BL",36.6265084092053,0,21.4947088193267,0,0
"Leptin_BL",100,100,100,100,100
"Peptide_YY_BL",40.8650230931856,0,7.91842040312465,0,0
"Triglyceride_lipid_BL",44.4070773208608,0,2.6093029349454,0,0
"HOMA_IR_BL",81.2086743732105,0,43.7064646641789,0,7.73550966904923
"s__Methanobrevibacter_A smithii_A_1174",42.5059251078132,0,0.662098025584885,0,0
"s__Schaalia odontolytica",52.6733378849864,0,14.3872661308192,0,0
"s__Bifidobacterium adolescentis",33.2212476024072,0,4.75938470387054,0,0
"s__Bifidobacterium longum",37.1101970110327,0,2.67254662071058,0,0
"s__Bifidobacterium pseudocatenulatum",42.2812300743251,0,6.31142484518916,0,0
"s__Collinsella sp000434535",70.283550356483,0,15.502571008018,3.41657035562919,36.4674776238514
"s__Adlercreutzia equolifaciens",52.0187098415023,0,6.83048402167386,0,0
"s__CAG-1427 sp000435675",46.3991057485363,0,6.35403507373123,0,0
"s__Eggerthella lenta",45.2988430803533,0,17.1474704757614,4.3759340840428,0
"s__Gordonibacter pamelaeae",46.0443704531663,0,19.8129605046591,0,0
"s__Bacteroides_H caccae",41.0690645855013,0,2.43323399421919,0,0
"s__Bacteroides_H cellulosilyticus",41.525141356237,0,1.02828101678057,0,0
"s__Bacteroides_H fragilis",54.1013873265156,0,9.39927058076023,0,0
"s__Bacteroides_H ovatus",46.5863321418784,0,0.590661983699939,0,0
"s__Bacteroides_H stercoris",48.1363073033113,0,6.39492747162924,0.501927352001833,0
"s__Bacteroides_H thetaiotaomicron",39.8907317294849,0,8.82335961051167,0,0
"s__Bacteroides_H uniformis",38.2718996206563,0,2.10240318984396,0,0
"s__Bacteroides_H xylanisolvens",39.4086213449723,0,5.04481578778312,0,3.70266940917589
"s__Phocaeicola_A_858004 dorei",41.4380024981732,0,4.01090156647363,0,0
"s__Phocaeicola_A_858004 massiliensis",51.7533899590363,0,15.3285818588254,7.92736330324976,17.3828622626157
"s__Phocaeicola_A_858004 vulgatus",32.3325417478958,0,0.146518941585274,0,0
"s__Prevotella copri",38.9189932163137,0,1.96609189736056,0,0
"s__Barnesiella intestinihominis",44.3242341122285,0,1.54549308519042,0,0
"s__Odoribacter splanchnicus",47.7798107758051,0,6.93744476621979,0,0
"s__Paramuribaculum sp900551515",41.1303265559729,0,3.17853854794801,0,3.51239833365319
"s__Alistipes_A_871400 communis",90.9351535488041,13.6244206572809,28.4117590219794,5.81734800504724,71.1053604628847
"s__Alistipes_A_871400 finegoldii",47.0455016643673,0,11.8074896355584,0,0
"s__Alistipes_A_871400 onderdonkii",52.2981332330159,0,1.50851275542064,0,0
"s__Alistipes_A_871400 shahii",54.7234613420472,0,15.0543706433199,0,0
"s__Alistipes_A_871404 ihumii",65.6573341130948,0,20.2776354792067,7.50023758947893,18.3369204931393
"s__Alistipes_A_871404 indistinctus",38.2748980696649,0,3.62183539206073,0,0
"s__Coprenecus sp900544175",42.5668968134309,0,1.06868354903635,0,5.86992569216915
