"Model","DataType","R2","MAE","RMSE"
"lasso_model","Train",0.394844709881316,0.669765827986997,0.843713691285758
"lasso_model","Test",0.273408254418536,0.683159687753887,0.870472349515753
"ridge_model","Train",0.748070987497277,0.558628745382846,0.692307210273626
"ridge_model","Test",0.370505316493145,0.655266862451688,0.856210421959406
"elastic_net_model","Train",0.65654245591635,0.521423483952406,0.656134362653342
"elastic_net_model","Test",0.360347531844898,0.622205241121372,0.795110903274704
"rf_model","Train",0.965766539775223,0.329577822305504,0.419055628113442
"rf_model","Test",0.122562925345821,0.722776633095499,0.945408790365242
"xgb_model","Train",0.940149145561004,0.267508254815687,0.338417039731541
"xgb_model","Test",0.279270540085179,0.671851990968629,0.845210943763686
