"Variable","Lasso_Beta","Ridge_Beta","Enet_Beta"
"(Intercept)",0.0146363791395848,-0.146264384710416,0.0363665871026229
"s__Methanobrevibacter_A smithii_A_1174",0,0.000247473844008161,0
"s__Schaalia odontolytica",0,0.00885052216609696,0
"s__Bifidobacterium adolescentis",0,-0.00345194702581954,0
"s__Bifidobacterium longum",0,0.00165816717246072,0
"s__Bifidobacterium pseudocatenulatum",0,-0.00411095301721259,0
"s__Collinsella sp000434535",0,0.0108659150756235,0
"s__Adlercreutzia equolifaciens",0,-0.00446864123766716,0
"s__CAG-1427 sp000435675",0,-0.00313535222892668,0
"s__Eggerthella lenta",0,0.0097859163817743,0
"s__Gordonibacter pamelaeae",0,0.0145710740291952,0
"s__Bacteroides_H caccae",0,0.000823901848094604,0
"s__Bacteroides_H cellulosilyticus",0,0.000243082315059383,0
"s__Bacteroides_H fragilis",0,0.00779716025052597,0
"s__Bacteroides_H ovatus",0,-0.00077610213907195,0
"s__Bacteroides_H stercoris",0,-0.00387084024041054,0
"s__Bacteroides_H thetaiotaomicron",0,-0.00755023051675336,0
"s__Bacteroides_H uniformis",0,-0.00126295879483422,0
"s__Bacteroides_H xylanisolvens",0,-0.00370590485642514,0
"s__Phocaeicola_A_858004 dorei",0,-0.00351095146395037,0
"s__Phocaeicola_A_858004 massiliensis",0,-0.0109924222744219,0
"s__Phocaeicola_A_858004 vulgatus",0,1.51659950786464e-05,0
"s__Prevotella copri",0,-0.00107880465320312,0
"s__Barnesiella intestinihominis",0,-0.000858635709286254,0
"s__Odoribacter splanchnicus",0,-0.00478961899133926,0
"s__Paramuribaculum sp900551515",0,-0.00190164412820121,0
"s__Alistipes_A_871400 communis",-0.0310911269923256,-0.0217003883799041,-0.0557954398549633
"s__Alistipes_A_871400 finegoldii",0,0.00878354050570932,0
"s__Alistipes_A_871400 onderdonkii",0,0.00257928067421927,0
"s__Alistipes_A_871400 shahii",0,0.0107179395114384,0
"s__Alistipes_A_871404 ihumii",0,-0.0138059973975629,0
"s__Alistipes_A_871404 indistinctus",0,-0.00438647165582931,0
"s__Coprenecus sp900544175",0,0.0012177608791874,0
"o__Christensenellales",0,0.00483611423002617,0
"f__CAG-138",0,-0.00826411538420832,0
"f__CAG-74",0,-0.00205808492544416,0
"s__Limiplasma merdipullorum",0,-0.00593493824642183,0
"g__Onthenecus",0,-0.00400777572187409,0
"g__SFMI01",0,0.00124607084277736,0
"g__Clostridium_T",0,0.0107153859051341,0
"s__Clostridium_T saudiense",0,0.00233737129580849,0
"s__Anaerofustis stercorihominis",0,-0.00399262176822932,0
"o__Lachnospirales",0,0.00834789081159793,0
"f__Anaerotignaceae",0,0.00884009153781953,0
"s__Anaerotignum lactatifermentans",0,0.00564742292453997,0
"s__Anaerotignum sp004557645",0,-0.00126302038282542,0
"s__CAG-274 sp900545305",0,0.0132805658299768,0
"f__Lachnospiraceae",0,0.000104286150197494,0
"s__Acetatifactor sp900066565",0,0.000395992007744646,0
"s__Agathobacter faecis",0,-0.00932779816961062,0
"s__Agathobacter rectalis",0,0.00899188362792429,0
"s__Anaerobutyricum soehngenii",0,-0.00117794226635108,0
"s__Anaerostipes hadrus",0,0.00240656109603557,0
"g__Bariatricus",0,0.00285617866549963,0
"s__Blautia_A_141780 hansenii",0,-0.00282873581310471,0
"s__Blautia_A_141780 stercoris",0,0.0111685679170968,0
"g__Blautia_A_141781",0,0.00130795784851364,0
"s__Blautia_A_141781 caecimuris",0,0.000823833023871096,0
"s__Blautia_A_141781 faecis",0,-0.00260283192084754,0
"s__Blautia_A_141781 hydrogenotrophica",0,-0.0128597043293796,0
"s__Blautia_A_141781 massiliensis",0,-0.000743303232139273,0
"s__Blautia_A_141781 sp900066505",0,0.0119499528684062,0
"s__Butyribacter intestini",0,0.00243233594369265,0
"s__Butyribacter sp003529475",0,-0.000970508129624094,0
"s__CAG-127 sp900319515",0,0.00898977556507694,0
"s__CAG-317 sp000433215",0,-0.00332921850775126,0
"s__Catenibacillus scindens",0,0.00157578758841088,0
"g__Clostridium_AP",0,-0.00536871285416019,0
"s__Clostridium_Q_134516 symbiosum",0,-0.00298559771188945,0
"s__Clostridium_Q_135822 fessum",0,0.00538674429125357,0
"s__Clostridium_Q_135853 saccharolyticum_A",0,0.00341610352048635,0
"s__Coprococcus_A_121497 eutactus",0,0.00318627480371631,0
"s__Coprococcus_A_187866 catus",0,0.000718081291865853,0
