"Variable","RF_Importance","Lasso_Importance","Ridge_Importance","Enet_Importance","XGBoost_Importance"
"s__Methanobrevibacter_A smithii_A_1174",22.4778562057281,0,1.07127261508775,0,0.12478796375085
"s__Schaalia odontolytica",57.5977252179758,0,40.7436733376596,0,0
"s__Bifidobacterium adolescentis",5.86563888061646,0,15.848493364522,0,12.9781046750446
"s__Bifidobacterium longum",8.8962392435235,0,7.57659362779601,0,0.00234256321834013
"s__Bifidobacterium pseudocatenulatum",24.3265322675921,0,18.8874568563338,0,9.98563444189755
"s__Collinsella sp000434535",72.1659731161529,0,50.0375273446022,0,53.3218881995987
"s__Adlercreutzia equolifaciens",50.8034423012471,0,20.5369129426355,0,0.33438153824361
"s__CAG-1427 sp000435675",34.8615793254083,0,14.3885369422425,0,4.1639149539618
"s__Eggerthella lenta",37.3334940537583,0,45.0571832435202,0,0
"s__Gordonibacter pamelaeae",19.5189545673136,0,67.1236281362845,0,0
"s__Bacteroides_H caccae",25.7213965055596,0,3.72943306120708,0,0
"s__Bacteroides_H cellulosilyticus",17.627229695192,0,1.05102136347112,0,0
"s__Bacteroides_H fragilis",38.8456694880871,0,35.8861630162156,0,0
"s__Bacteroides_H ovatus",29.021311593936,0,3.50900779567647,0,0
"s__Bacteroides_H stercoris",42.6404787260403,0,17.7801923213384,0,0.580353565067662
"s__Bacteroides_H thetaiotaomicron",26.2801146702114,0,34.7474625252056,0,0
"s__Bacteroides_H uniformis",8.71411650808647,0,5.75411576423922,0,0
"s__Bacteroides_H xylanisolvens",26.4228986090219,0,17.0196034693614,0,1.12439656691499
"s__Phocaeicola_A_858004 dorei",16.2752814562291,0,16.1205885133922,0,0
"s__Phocaeicola_A_858004 massiliensis",39.5591141551202,0,50.6209071068818,0,19.2938053344032
"s__Phocaeicola_A_858004 vulgatus",10.8297409713721,0,0,0,0
"s__Prevotella copri",21.9684394235924,0,4.90490085482717,0,2.80627451296907
"s__Barnesiella intestinihominis",28.6394534754962,0,3.88960601482159,0,4.51601210571071
"s__Odoribacter splanchnicus",32.6896720102576,0,22.0170810865265,0,0
"s__Paramuribaculum sp900551515",26.8131482998282,0,8.69937185630457,0,3.65203727955306
"s__Alistipes_A_871400 communis",100,100,100,100,99.2201645601827
"s__Alistipes_A_871400 finegoldii",30.0801460302439,0,40.4347917444761,0,0
"s__Alistipes_A_871400 onderdonkii",44.8034956565532,0,11.8242489453781,0,0
"s__Alistipes_A_871400 shahii",41.5696883841826,0,49.3551476043389,0,5.91290511954741
"s__Alistipes_A_871404 ihumii",65.0337801476043,0,63.595526749749,0,13.5140948727726
"s__Alistipes_A_871404 indistinctus",14.0325189076631,0,20.1579932323385,0,0
"s__Coprenecus sp900544175",24.1327774083223,0,5.54568850052601,0,6.40234227610629
