"Model","DataType","R2","MAE","RMSE"
"lasso_model","Train",0.133846008020906,0.777291499264185,0.976156345003612
"lasso_model","Test",0.0270128424778297,0.748144077385199,0.984395457501382
"ridge_model","Train",0.7175894250574,0.591365657451324,0.725611401130803
"ridge_model","Test",0.184381569738597,0.698189682427941,0.9125876323087
"elastic_net_model","Train",0.140000650775561,0.767364229578297,0.96014774099736
"elastic_net_model","Test",0.0285432133242669,0.745064377218091,0.979824075338717
"rf_model","Train",0.960688240822291,0.361935330525491,0.455067209449618
"rf_model","Test",0.0509274185114216,0.740821902470781,0.967932003691355
"xgb_model","Train",0.996443594378606,0.0514521097004728,0.0648273066051483
"xgb_model","Test",0.159062096156443,0.739108902053084,0.926286340183971
